Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;0
7;3
8;3
9;3
10;3
11;2
12;3
13;3
14;3
15;4
16;0
17;0
18;2
19;3
20;3
21;3
22;4
23;0
24;4
25;0
26;2
27;3
28;3
29;3
30;4
31;0
32;0
33;2
34;3
35;3
36;3
37;4
38;0
39;4
40;0
41;2
42;3
43;3
44;3
45;4
46;0
47;0
48;2
49;3
50;3
51;3
52;4
53;0
54;4
55;0
56;2
57;3
58;3
59;3
60;4
61;0
62;0
63;2
64;3
65;3
66;3
67;4
68;0
69;4
70;0
71;2
72;3
73;3
74;3
75;4
76;0
77;0
78;2
79;3
80;3
81;3
82;4
83;0
84;4
85;0
86;2
87;3
88;3
89;3
90;4
91;0
92;0
93;2
94;3
95;3
96;3
97;4
98;0
99;4
100;0
101;2
102;3
103;3
104;3
105;4
106;0
107;0
108;2
109;3
110;3
111;3
112;4
113;0
114;4
115;0
116;2
117;3
118;3
119;3
120;4
121;0
122;0
123;2
124;3
125;3
126;3
127;4
128;0
129;4
130;0
131;2
132;3
133;3
134;3
135;4
136;0
137;0
138;2
139;3
140;3
141;3
142;4
143;0
144;4
145;0
146;2
147;3
148;3
149;3
150;4
151;0
152;0
153;2
154;3
155;3
156;3
157;4
158;0
159;4
160;0
161;2
162;3
163;3
164;3
165;4
166;0
167;0
168;2
169;3
170;3
171;3
172;4
173;0
174;4
175;0
176;2
177;3
178;3
179;3
180;4
181;0
182;0
183;2
184;3
185;3
186;3
187;4
188;0
189;4
190;0
191;2
192;3
193;3
194;3
195;4
196;0
197;0
198;2
199;3
200;3
201;3
202;4
203;0
204;4
205;0
206;2
207;3
208;3
209;3
210;4
211;0
212;0
213;2
214;3
215;3
216;3
217;4
218;0
219;4
220;0
221;2
222;3
223;3
224;3
225;4
226;0
227;0
228;2
229;3
230;3
231;3
232;4
233;0
234;4
235;0
236;2
237;3
238;3
239;3
240;4
241;0
242;0
243;2
244;3
245;3
246;3
247;4
248;0
249;4
250;0
251;2
252;3
253;3
254;3
255;4
256;0
257;0
258;2
259;3
260;3
261;3
262;4
263;0
264;4
265;0
266;2
267;3
268;3
269;3
270;4
271;0
272;0
273;2
274;3
275;3
276;3
277;4
278;0
279;4
280;0
281;2
282;3
283;3
284;3
285;4
286;0
287;0
288;2
289;3
290;3
291;3
292;4
293;0
294;4
295;0
296;2
297;3
298;3
299;3
300;0
