Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
10;0.215514,0.65375,0.921322,-0.285147,0.757441,-0.21844,0.0769834,0.832421,0.524612,-0.04144,0.666732,0.803943,0.802804,-0.982817,-0.323034,-0.557336,0.397645,-0.960477,-0.1411,-0.852985,0.617359,0.794669,-0.0436132,0.293964,-0.787899,-0.97876,0.493422,-0.387576,-0.124227,-0.366119,-0.803402,0.800006,-0.704,0.967242,0.378509,0.610417,0.840275,0.975336,-0.169871,-0.571325,-0.657538,-0.940166,0.872043,-0.637863,-0.531315,-0.127615,0.746017,0.716521,-0.807576,0.0960954;-9.87242,5.9025,-3.71109,3.35254
11;0.206717,0.240732,0.552228,0.0401594,0.477958,-0.0766598,0.542124,0.556285,0.436108,-0.37976,0.780327,0.596628,0.359759,-0.963173,0.339279,-0.687828,-0.390046,-0.734761,0.0177409,-0.759933,0.809608,0.468668,0.276742,0.397976,-0.244374,-0.960264,0.591796,0.149096,0.624323,-0.933256,-0.958757,0.790235,-0.875121,0.791781,0.599161,0.60443,0.855145,0.811178,-0.205946,-0.750247,-0.573762,-0.648372,0.699647,-0.665576,-0.218543,-0.52469,0.673278,-0.0583296,-0.368537,0.167347;-7.1824,1.27449,-3.2039,2.3551
12;0.189703,0.172505,0.474933,-0.0534906,0.378263,0.280778,0.144048,0.298473,0.376808,-0.509608,0.808259,0.651046,0.202116,-0.961321,0.579958,-0.630251,-0.418063,-0.792288,0.371395,-0.834423,0.758718,0.408232,-0.035077,0.428392,-0.209601,-0.939548,0.656229,0.00479438,0.568453,-0.892178,-0.917986,0.581828,-0.823722,0.697928,0.505461,0.232485,0.9448,0.447278,-0.364194,-0.677655,-0.392152,-0.647075,0.738297,-0.211529,-0.101124,-0.162593,0.779573,0.200296,-0.323694,0.206589;-9.58349,-1.36025,-5.02527,2.7552
13;0.0641931,0.174925,0.43453,-0.263644,0.525769,0.255251,-0.00769297,0.434279,0.550607,-0.410882,0.82324,0.559621,-0.222503,-0.958663,0.577413,-0.623964,-0.298177,-0.776963,0.0866043,-0.771834,0.73799,0.271445,-0.0938411,0.337396,-0.218782,-0.943607,0.647179,-0.21441,0.632535,-0.877197,-0.864232,0.784976,-0.861762,0.669688,0.608761,0.185484,0.955947,0.334027,-0.386958,-0.47071,-0.538116,-0.738029,0.724421,-0.490859,-0.113598,-0.274608,0.804758,-0.0206986,-0.395173,-0.00993801;-9.43864,2.21803,-3.04429,1.25438
14;-0.285351,-0.0824194,0.664335,0.520526,0.388067,0.319193,-0.537024,0.783956,0.0798964,-0.59828,0.376086,0.363579,-0.0550944,-0.727468,0.0638849,-0.574394,-0.0807268,-0.319277,0.738612,-0.292223,-0.275251,-0.085084,0.145885,-0.237662,0.565968,-0.838715,0.0896014,0.0282087,0.347144,-0.867774,-0.853524,0.187974,-0.815917,0.458736,0.00722681,0.164817,0.806219,-0.15548,-0.420161,-0.566567,-0.528385,-0.0688279,0.526375,0.467613,-0.150128,0.583828,0.900918,0.110874,-0.219137,-0.767505;-10.161,-1.07532,1.10278,2.22038
15;-0.506335,-0.39627,0.61584,0.387153,0.478503,0.177783,-0.468992,0.815093,-0.202987,0.0463157,0.629204,0.267285,-0.515183,-0.28549,-0.0911443,-0.457543,-0.651,-0.581569,0.567342,-0.0497411,-0.523486,-0.395596,-0.171664,-0.124676,0.564247,-0.490628,0.158089,0.319445,0.424372,-0.788765,-0.73989,0.71081,-0.572251,-0.0804908,0.381564,0.331047,0.870635,-0.334892,-0.807365,-0.60983,-0.220333,-0.516385,-0.0320421,-0.207913,-0.147484,-0.0542045,0.558273,-0.184062,-0.213935,-0.31919;-5.65496,-2.38466,2.78505,-0.474985
16;0.546537,-0.237827,0.703398,-0.0731392,0.73751,-0.160478,-0.710901,0.803855,0.427808,-0.148429,0.886634,0.878794,-0.543623,-0.614283,0.0737979,-0.243018,-0.649997,-0.932387,0.386493,-0.831227,0.4511,0.308481,-0.0398407,0.141803,-0.458351,-0.384486,0.409454,-0.545809,0.299037,-0.581884,-0.702926,0.694662,-0.49449,0.607474,0.358783,0.0436496,0.988779,0.575297,-0.623475,0.115747,-0.587003,-0.925617,0.879551,-0.695431,-0.396098,-0.386989,0.819422,0.0728744,0.187325,0.622662;-2.6464,0.338493,-6.49959,5.84216
17;0.2728,0.440373,0.93202,-0.142531,0.878758,-0.188311,-0.855654,0.865769,0.822397,-0.0726158,0.821839,0.632961,0.233676,-0.961362,-0.00664196,-0.40647,0.235075,-0.968756,-0.112813,-0.691725,0.514837,0.708069,-0.272618,0.286936,-0.791403,-0.94619,0.63753,-0.499243,-0.150452,-0.28429,-0.121202,0.658562,-0.719325,0.969941,0.0224183,0.205631,0.96455,0.927767,-0.627696,-0.668783,-0.651244,-0.966764,0.915321,-0.300759,-0.669688,0.0770562,0.852999,0.381462,-0.314648,0.466872;-9.58138,4.05519,-5.15776,5.02136
18;0.180362,0.566202,0.944126,-0.143053,0.89198,-0.340505,0.121898,0.909369,0.805964,-0.329195,0.687551,0.814905,0.680607,-0.975364,-0.237406,-0.49004,0.367462,-0.966885,-0.198908,-0.68688,0.624429,0.776431,-0.0882561,0.228046,-0.83742,-0.941048,0.509455,-0.450865,-0.0800507,-0.587758,-0.571114,0.781474,-0.605896,0.945105,0.309034,0.55754,0.923644,0.965112,-0.45454,-0.755862,-0.716963,-0.947834,0.801917,-0.641847,-0.457393,-0.197299,0.812474,0.309877,-0.564274,0.610136;-8.4504,4.35117,-4.88597,3.60854
19;0.186955,0.532454,0.680864,0.0886367,0.484367,0.216122,0.659846,0.53502,0.715558,-0.486048,0.703976,0.576645,0.332059,-0.982387,0.411869,-0.685255,-0.509025,-0.761391,-0.0909643,-0.782313,0.890359,0.480709,0.315071,0.396291,-0.295193,-0.946017,0.596886,0.162526,0.629003,-0.933544,-0.938002,0.722619,-0.920173,0.742331,0.556962,0.587132,0.906821,0.797467,-0.236201,-0.823506,-0.545441,-0.673979,0.691094,-0.600804,-0.139387,-0.550879,0.686638,-0.0331389,-0.306996,0.450758;-9.42919,0.487038,-5.84154,2.83664
