Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
10;0.219189,0.605071,0.21876,0.878562,0.525855,-0.662862,0.0921785,-0.0365525,-0.605268,0.65133,-0.401999,-0.83553,0.0642376,-0.230669,0.544915,0.31931,0.311261,-0.174462,-0.197295,0.763137,0.889285,0.759592,0.467312,0.749932,0.801465,0.162808,-0.720062,0.140205,-0.0532579,-0.37838,0.501075,-0.210373,0.042316,0.593687,0.0366953,0.132715,-0.461304,0.0712874,-0.966298,-0.286149,-0.470682,-0.36115,-0.529819,0.264785,-0.642256,0.460254,0.193434,-0.405294,0.482292,0.375817;-8.07864,-6.1896,10.0256,10.6063
11;0.614252,0.477225,0.635107,0.834344,0.512143,-0.781568,0.533373,0.275276,-0.786872,0.738835,-0.545611,-0.852082,0.574948,-0.36806,0.804339,0.701838,-0.546318,0.00393369,-0.158017,0.757485,0.720823,0.728569,0.53733,0.796842,0.857262,-0.0980314,-0.386337,0.511339,-0.124773,-0.750692,0.680086,-0.866471,-0.744653,0.63409,0.305197,-0.429161,-0.7333,-0.22578,-0.939485,-0.366167,-0.176322,0.416943,-0.127316,0.314207,-0.569018,0.216696,-0.410212,-0.28787,0.420609,0.107543;-6.2461,1.59385,7.78543,15.1432
12;0.593738,0.709605,0.618845,0.875151,0.272286,-0.774928,0.568493,0.193208,-0.562594,0.715366,-0.510519,-0.796112,0.396019,-0.516025,0.832336,0.411205,-0.613806,-0.232756,-0.0841635,0.842494,0.805138,0.79625,0.468554,0.888726,0.866383,-0.0881084,-0.61309,0.42442,-0.117822,-0.799787,0.83837,-0.75101,-0.911517,0.620299,0.151789,-0.31204,-0.798894,-0.373148,-0.696958,-0.499218,-0.121,0.365557,0.0639145,0.235045,-0.734376,0.310065,-0.284317,-0.0413653,0.459547,0.350455;-5.72882,2.48587,7.7059,18.7319
13;0.0366751,0.76616,0.244232,0.800418,-0.0032926,-0.456305,0.326485,0.542573,-0.568252,0.920249,-0.567936,-0.705474,0.345978,-0.649419,0.812443,-0.0790899,-0.82424,-0.144461,-0.172277,0.668563,0.949932,0.804471,0.675891,0.906989,0.918905,0.0296942,-0.83084,0.389936,0.0967504,-0.894661,0.892017,-0.311651,-0.945859,0.416373,-0.0114315,-0.338543,-0.708046,-0.539037,-0.918344,-0.490119,0.337022,0.0636694,0.476953,0.691027,-0.767549,0.537015,-0.00271765,-0.541511,0.809309,-0.0653787;-4.16829,3.4252,14.4304,19.6879
14;-0.187495,0.41481,-0.249777,0.800082,-0.0448576,-0.250159,-0.243467,0.785702,-0.581727,0.736352,-0.76655,-0.708362,0.137992,-0.43436,0.878019,0.184421,-0.8164,-0.402682,-0.274095,0.200123,0.943045,0.926597,0.525916,0.953886,0.802134,-0.502293,-0.669848,0.827308,0.0463003,-0.648036,0.585389,-0.219246,-0.850496,0.697273,-0.571138,-0.761106,-0.400983,-0.73821,-0.980579,-0.460411,-0.231379,0.245656,0.14566,0.870668,-0.720308,0.5302,-0.0794341,-0.646271,0.870061,-0.632804;-5.78956,-0.22981,13.6052,12.8877
15;0.260834,0.633338,0.280364,0.744114,0.461685,-0.59242,-0.517901,-0.0285098,-0.335169,0.284109,-0.604442,-0.691643,0.36626,-0.38242,0.807555,0.052438,-0.147126,-0.2222,-0.081274,0.504451,0.827914,0.948239,0.597156,0.886239,0.853448,0.140055,-0.806052,0.324809,-0.480213,-0.0535481,0.661532,-0.0201294,0.00202138,0.534159,-0.385946,0.0903788,-0.654673,0.212781,-0.844509,-0.427001,-0.390124,-0.14188,0.147492,0.083173,-0.790182,0.672124,0.0539454,-0.0162674,0.818429,0.351416;-6.1626,-5.73975,10.8118,10.608
16;0.287135,0.59874,0.248822,0.896574,0.502095,-0.702209,-0.147387,-0.131329,-0.670175,0.593942,-0.387985,-0.797473,0.180518,-0.168841,0.544861,0.172214,0.286515,-0.0882923,-0.0605616,0.776298,0.868536,0.751404,0.452231,0.805568,0.821752,0.133203,-0.630377,0.244868,-0.131057,-0.355955,0.434906,-0.389184,0.038638,0.569798,-0.169648,0.0984132,-0.423456,0.120659,-0.944489,-0.281272,-0.486489,-0.155859,-0.538649,0.187547,-0.566659,0.543585,0.0948737,-0.481844,0.432049,0.306312;-8.89263,-7.41052,9.42611,9.91999
17;0.575461,0.766477,0.729296,0.891972,0.628735,-0.776076,-0.0933003,0.0709592,-0.59987,0.424426,-0.63314,-0.641437,-0.118733,-0.622783,0.767214,0.634703,0.0861768,-0.613787,0.406045,0.76688,0.847677,0.768987,0.496424,0.579369,0.665028,0.0727379,-0.660395,0.419002,-0.126743,-0.657521,0.497506,-0.633544,-0.323528,0.427556,-0.541832,-0.458949,-0.406613,-0.252925,-0.97595,-0.243156,-0.465076,0.0725443,0.0916788,-0.158094,-0.44629,0.288484,0.326973,-0.0940792,0.372906,0.619448;-9.51033,-5.02143,6.17817,11.8266
18;0.442399,0.830492,0.727987,0.922007,0.667657,-0.778519,-0.242685,0.282131,-0.466333,0.669672,-0.681193,-0.581491,-0.604281,-0.449438,0.772659,0.472193,0.319639,-0.7212,0.417936,0.876733,0.903491,0.843185,0.365498,0.593921,0.72409,0.0670924,-0.736198,0.235317,0.11326,-0.727488,0.586463,-0.204327,-0.532345,0.507964,-0.396386,-0.344737,-0.405939,-0.0439203,-0.967102,-0.206068,-0.384819,-0.00666967,0.198348,0.0359094,-0.562659,0.360695,0.496706,-0.0282016,0.507269,0.715717;-7.59669,-8.75445,8.82385,11.4096
19;-0.00569714,0.878425,0.416989,0.897941,0.300459,-0.472027,-0.381994,0.664402,-0.490271,0.857669,-0.708967,-0.524506,-0.482223,-0.476725,0.765378,0.173056,-0.0657391,-0.708557,0.35776,0.56936,0.963454,0.849001,0.634547,0.61128,0.782212,0.181111,-0.898302,0.309125,0.201942,-0.845577,0.64423,0.301507,-0.384555,0.298243,-0.48582,-0.382944,-0.241731,-0.395896,-0.994155,-0.222602,0.153606,-0.381129,0.647351,0.493127,-0.686768,0.404809,0.59695,-0.382416,0.722936,0.389955;-5.41247,-4.84366,13.3152,12.9975
