Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;4
10;2
11;3
12;3
13;3
14;3
15;0
16;3
17;4
18;2
19;3
20;2
21;3
22;3
23;0
24;4
25;0
26;3
27;4
28;2
29;3
30;3
31;4
32;2
33;3
34;2
35;3
36;3
37;0
38;4
39;0
40;3
41;4
42;2
43;3
44;3
45;4
46;2
47;3
48;2
49;3
50;3
51;0
52;4
53;0
54;3
55;4
56;2
57;3
58;3
59;4
60;2
61;3
62;2
63;3
64;3
65;0
66;4
67;0
68;3
69;4
70;2
71;3
72;3
73;4
74;2
75;3
76;2
77;3
78;3
79;0
80;4
81;0
82;3
83;4
84;2
85;3
86;3
87;4
88;2
89;3
90;2
91;3
92;3
93;0
94;4
95;0
96;3
97;4
98;2
99;3
100;3
101;4
102;2
103;3
104;2
105;3
106;3
107;0
108;4
109;0
110;3
111;4
112;2
113;3
114;3
115;4
116;2
117;3
118;2
119;3
120;3
121;0
122;4
123;0
124;3
125;4
126;2
127;3
128;3
129;4
130;2
131;3
132;2
133;3
134;3
135;0
136;4
137;0
138;3
139;4
140;2
141;3
142;3
143;4
144;2
145;3
146;2
147;3
148;3
149;0
150;4
151;0
152;3
153;4
154;2
155;3
156;3
157;4
158;2
159;3
160;2
161;3
162;3
163;0
164;4
165;0
166;3
167;4
168;2
169;3
170;3
171;4
172;2
173;3
174;2
175;3
176;3
177;0
178;4
179;0
180;3
181;4
182;2
183;3
184;3
185;4
186;2
187;3
188;2
189;3
190;3
191;0
192;4
193;0
194;3
195;4
196;2
197;3
198;3
199;4
200;2
201;3
202;2
203;3
204;3
205;0
206;4
207;0
208;3
209;4
210;2
211;3
212;3
213;4
214;2
215;3
216;2
217;3
218;3
219;0
220;4
221;0
222;3
223;4
224;2
225;3
226;3
227;4
228;2
229;3
230;2
231;3
232;3
233;0
234;4
235;0
236;3
237;4
238;2
239;3
240;3
241;4
242;2
243;3
244;2
245;3
246;3
247;0
248;4
249;0
250;3
251;4
252;2
253;3
254;3
255;4
256;2
257;3
258;2
259;3
260;3
261;0
262;4
263;0
264;3
265;4
266;2
267;3
268;3
269;4
270;2
271;3
272;2
273;3
274;3
275;0
276;4
277;0
278;3
279;4
280;2
281;3
282;3
283;4
284;2
285;3
286;2
287;3
288;3
289;0
290;4
291;0
292;3
293;4
294;2
295;3
296;3
297;4
298;2
299;3
300;0
