Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
265;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
266;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
267;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
268;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
269;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
270;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
271;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
272;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
273;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
274;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
275;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
276;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
277;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
278;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
279;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
280;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
281;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
282;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
283;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
284;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
285;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
286;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
287;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
288;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
289;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
290;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
291;-0.870558,-0.752641,-0.221814,0.298543,0.835229,-0.101879,-0.837636,0.982711,0.850575,0.92862,-0.66609,0.561192;-3.08883,0.110553,-1.9359,0.934695
292;-0.912172,-0.936314,-0.280617,-0.313561,0.892254,0.107159,-0.938373,0.983349,0.914168,0.881215,-0.68858,0.389637;-3.3229,-0.835214,-0.315267,0.933235
293;-0.973918,-0.961948,-0.343163,-0.624005,0.784784,-0.420982,-0.986165,0.983898,0.937337,0.619564,-0.500088,0.86823;-2.9796,-0.820938,1.50011,1.26916
294;-0.840441,-0.973158,-0.486785,0.573042,0.649099,-0.688817,-0.714247,0.902486,0.897319,0.882113,-0.716424,0.609828;-3.40676,0.66094,-2.49104,0.889714
295;-0.840441,-0.880963,-0.486785,0.699823,0.811155,-0.547292,-0.714247,0.942605,0.913662,0.916382,-0.779733,0.609828;-3.37704,0.747109,-3.01791,0.594082
296;-0.927918,-0.479517,-0.625736,0.206707,0.772125,-0.693014,-0.924882,0.983533,0.947054,0.912785,-0.655747,0.812497;-2.63785,0.833471,-0.705725,0.867817
297;-0.927918,-0.779526,-0.625736,0.394951,0.705741,-0.671379,-0.924882,0.977489,0.946925,0.927796,-0.344071,0.812497;-3.05874,1.12801,-1.71335,1.06199
298;-0.973918,-0.862467,-0.343163,-0.211852,0.853473,-0.172235,-0.986165,0.961716,0.939267,0.848205,0.0598685,0.86823;-2.84826,0.283921,-0.101743,1.1065
299;-0.973918,-0.946548,-0.343163,-0.5635,0.796151,-0.365716,-0.986165,0.896472,0.935933,0.7225,-0.342561,0.86823;-2.90451,-0.620778,1.27688,1.27633
