Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
23;0.221266,-0.0776208,-0.162772,-0.450054,0.0480705,-0.44583,-0.150974,-0.268655,-0.224633,-0.902475,-0.123415,0.459251,0.454897,-0.143586,0.807759,-0.025661,-0.86098,0.0117373,0.901003,-0.895662;0.623643,0.0581162,-0.330297,1.30431
24;0.173833,-0.56078,-0.602309,-0.427946,0.510833,-0.459607,-0.153715,-0.26991,-0.162115,-0.913205,-0.153494,0.0928904,0.29336,-0.242927,0.832758,-0.118594,-0.857545,-0.11736,0.899226,-0.912208;-0.270473,0.193698,-1.17054,1.48483
25;0.121113,-0.463742,-0.665949,-0.398361,0.349942,-0.492445,-0.166983,0.181076,-0.163599,-0.885952,-0.154966,-0.0147867,0.651694,-0.617682,0.832206,-0.124455,-0.856427,-0.538102,0.898151,-0.916885;-0.0436269,0.135782,2.4908,0.654791
26;0.359409,0.257072,-0.554928,-0.89218,0.782676,-0.19016,-0.49671,0.0742557,-0.454639,-0.998093,0.0893362,0.796163,0.77003,-0.177861,0.588416,0.705455,-0.238456,-0.176489,0.950838,-0.938013;0.143888,1.11704,2.8919,0.604877
27;0.457675,0.575147,-0.280776,-0.806961,0.411346,0.72008,-0.438123,0.277483,0.0587958,-0.978647,-0.218037,0.761177,-0.516153,0.614565,0.850477,-0.149968,0.110532,-0.067459,0.500446,-0.930842;0.215912,-0.173672,-6.9341,1.31461
28;0.782228,0.973356,0.305122,-0.89835,0.514087,0.775552,-0.740323,0.0531763,-0.592639,-0.993021,-0.141763,0.975312,-0.133705,0.601335,0.550083,0.350203,0.302571,0.559859,0.549414,-0.830664;1.51096,0.715281,-4.32194,1.34117
29;0.589243,0.743557,0.690473,-0.890672,0.497217,0.665179,-0.322475,0.25631,-0.45319,-0.948252,-0.502621,0.918436,-0.858173,0.896994,0.642716,-0.544587,-0.401663,0.839251,0.343287,-0.816092;1.57082,0.230173,-12.3972,2.97924
30;0.84258,0.963816,0.920654,-0.959267,0.577519,0.583381,-0.61901,0.461551,-0.769759,-0.977846,-0.269543,0.975121,-0.609789,0.690576,0.354185,-0.0796632,-0.289778,0.966817,0.891803,-0.575099;1.53985,1.47622,-8.14264,2.46565
31;0.794148,0.977091,0.824183,-0.951404,0.602613,0.880669,-0.592064,0.0344764,-0.3328,-0.983613,-0.23757,0.988063,-0.830875,0.937105,0.767383,0.350593,0.215075,0.963729,0.767623,-0.6357;1.60547,1.18009,-9.45258,2.14478
32;0.760492,0.979918,0.863911,-0.966207,0.704075,0.710225,-0.656051,-0.0172023,-0.212951,-0.995488,0.290573,0.99181,-0.379862,0.972062,0.651322,0.209029,0.555109,0.924662,0.410937,-0.754761;-0.270686,0.764005,-6.51044,0.801351
33;0.760724,0.958509,0.855491,-0.95876,0.779007,0.694969,-0.618533,0.0939827,-0.479447,-0.996222,0.258037,0.991761,-0.530552,0.958553,0.394565,0.202726,0.612567,0.929146,0.117527,-0.733345;0.180941,0.907083,-7.28112,0.858294
34;0.481019,0.842091,0.527612,-0.917819,0.908015,0.362862,-0.297271,0.185869,-0.821118,-0.996232,-0.157422,0.991163,-0.595271,0.975113,-0.113023,0.673406,-0.136028,0.900449,0.42487,-0.861116;1.57757,2.04803,-7.32403,2.60267
35;0.480952,0.856795,0.510288,-0.929548,0.915612,0.129019,-0.030005,0.412117,-0.714622,-0.996843,0.017925,0.986413,-0.583914,0.971249,0.194523,0.673402,0.00668175,0.812761,0.827491,-0.786337;0.726098,2.58387,-7.77081,2.54921
