Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.350581,0.497304,0.199112,0.338555,-0.0466246,0.127686,-0.37916,0.443955,-0.200063,0.383336,-0.410458,0.206015,0.180708,-0.348894,-0.485518,-0.0211075,-0.0273988,0.145959,-0.284233,-0.52583,-0.45968,-0.0253654,-0.435982,0.371227,0.0376267;1.62483,-2.49518,-2.29784,1.52333
1;-0.438741,0.497304,0.444069,0.522409,-0.213013,0.127686,-0.240397,0.443955,-0.14618,0.382135,-0.39986,0.285546,0.366731,0.0894623,-0.14787,0.00415487,-0.0277795,-0.194199,-0.541888,-0.52583,-0.400162,-0.352218,-0.565856,0.757422,0.34233;0.47875,-0.151658,-4.40664,2.57754
2;-0.512016,0.497304,0.643993,0.655904,-0.559381,0.127686,-0.103483,0.443955,-0.137664,0.382291,-0.18842,0.264459,0.717855,0.200266,-0.155166,0.432682,-0.310722,-0.314787,-0.679426,-0.52583,-0.377532,-0.344446,-0.0914152,0.828301,0.498488;-2.27717,2.09481,-5.34625,1.85312
3;-0.548376,0.497304,0.566436,0.714112,-0.670168,0.127686,0.188106,0.443955,0.116403,0.38235,-0.508937,0.261103,0.838783,0.249459,-0.153233,0.0988132,-0.32154,0.14493,-0.765466,-0.52583,-0.310571,-0.180638,-0.362797,0.871639,0.724976;-1.3776,-0.173614,-4.10385,2.72987
4;-0.570125,0.497304,0.550532,0.746188,-0.70912,0.127686,0.277049,0.443955,0.144207,0.382525,-0.40855,0.158378,0.882975,0.276608,-0.152925,0.317862,-0.143223,-0.123287,-0.734785,-0.52583,-0.283332,-0.422041,0.143856,0.85619,0.699292;-3.51984,1.28909,-5.62666,2.33464
5;-0.562458,0.497304,0.521973,0.735119,-0.710455,0.127686,0.307309,0.443955,-0.067217,0.382596,-0.412758,0.146881,0.873255,0.247298,-0.143492,-0.0770986,-0.337678,0.362641,-0.728134,-0.52583,-0.267572,-0.350822,-0.122329,0.852817,0.615712;-1.28971,0.76888,-4.69662,2.79974
6;-0.560783,0.497304,0.523404,0.732666,-0.709033,0.127686,0.308336,0.443955,0.145109,0.382637,-0.2002,0.2331,0.843693,0.235924,-0.142435,0.130805,0.159336,0.114709,-0.715767,-0.52583,-0.291276,-0.353899,0.222558,0.846576,0.687738;-2.87543,0.836005,-5.29825,2.2782
7;-0.557656,0.497304,0.530666,0.728054,-0.700971,0.127686,0.307242,0.443955,-0.360961,0.382575,-0.336225,0.146507,0.864766,0.27375,-0.150356,-0.151599,-0.0470062,0.428607,-0.716411,-0.52583,-0.298609,-0.190133,0.0669386,0.846894,0.435802;-0.855827,0.695926,-4.9388,2.61628
8;-0.557819,0.497304,0.522467,0.728296,-0.704836,0.127686,0.301027,0.443955,-0.158253,0.382556,-0.241578,0.346827,0.781641,0.231908,-0.1424,-0.009454,0.345574,0.294451,-0.71958,-0.52583,-0.27104,-0.296805,0.226198,0.848501,0.557703;-1.55332,0.382149,-4.81275,2.42927
9;-0.835622,0.644121,0.60916,0.830023,-0.789512,0.200464,0.70606,0.427266,-0.665142,0.524451,-0.402947,-0.262812,0.647794,-0.00974169,-0.639834,-0.593513,-0.318307,0.744695,-0.58109,-0.785056,-0.0373233,-0.579184,0.186877,0.937169,-0.260268;0.839406,2.28841,-6.60038,3.26004
