Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
23;-0.686667,0.97285,-0.643685,0.214342,0.805865,-0.66729,0.00355499,0.934274,-0.236174,0.77499,-0.898878,-0.967908,-0.990311,-0.429575,-0.907456,-0.999969,0.562626,-0.858505,0.630698,-0.669378;-3.50541,-3.06767,2.62552,3.3071
24;-0.686667,0.997136,-0.625007,0.214342,0.318065,0.0718881,0.0651529,0.940616,-0.0346145,0.842924,-0.749127,-0.702483,-0.986488,-0.429575,-0.484715,-0.999993,0.85778,-0.48615,0.632869,-0.291304;-4.65276,-0.51578,2.41516,1.99343
25;0.0060349,0.985516,0.474868,-0.13617,-0.353267,0.669691,0.763279,0.818039,0.931402,0.814409,-0.065636,-0.767388,-0.909657,-0.282943,-0.233576,-0.997714,0.757225,-0.802793,0.410007,-0.789502;-3.89584,-1.16168,0.219922,3.42793
26;0.0060349,0.980112,-0.00592563,-0.13617,-0.680555,-0.0769157,0.800778,0.663188,0.986714,-0.537636,-0.730232,-0.0755313,-0.608052,-0.282943,-0.973261,-0.986231,0.887647,-0.86778,0.358581,-0.692248;-3.31431,-0.995961,0.713804,3.88285
27;-0.530804,0.871807,0.313781,-0.109789,-0.680973,-0.119597,-0.260651,0.894533,0.855407,0.463295,-0.909409,-0.365333,-0.961454,-0.662656,-0.972779,-0.982608,0.652081,-0.699316,0.0111939,-0.72802;-0.674434,-1.74773,-2.01069,2.32376
28;-0.597103,0.913377,-0.0852929,0.0226921,-0.436901,0.709402,-0.317256,0.906951,0.656862,0.782958,-0.968159,-0.904155,-0.985078,-0.386644,0.102682,-0.998878,0.915472,-0.890809,0.455595,-0.758236;-4.66227,-2.43678,-0.744567,1.30647
29;-0.656363,0.983284,-0.504426,0.500887,-0.268007,0.697177,0.0529359,0.962126,0.96733,0.753677,-0.634929,-0.808415,-0.210278,-0.00789406,-0.0637644,-0.995914,0.94328,-0.354243,0.681692,-0.578512;-5.93351,-0.355937,-0.298778,1.69746
30;-0.656363,0.986804,-0.669508,0.500887,-0.217033,0.408119,-0.0894914,0.954375,0.972918,0.246231,-0.916245,-0.740257,-0.540354,-0.00789406,0.0398954,-0.996339,0.915281,-0.166438,0.66562,-0.0972144;-6.14,1.50857,-0.24273,1.1733
31;-0.628337,0.996855,-0.820329,0.32658,0.391231,0.132279,-0.476905,0.963218,0.970785,0.613385,-0.961844,-0.212628,-0.371709,-0.579749,-0.301767,-0.996627,0.910875,0.00242148,0.305127,0.269907;-4.94267,3.69121,-0.399562,-0.478153
32;-0.675005,0.885051,-0.509754,-0.178152,0.844979,0.291532,-0.354669,0.980697,0.891179,0.0726953,-0.949446,-0.639165,-0.47488,-0.7726,0.227247,-0.986862,0.573,0.380179,-0.243782,-0.629833;-4.76091,4.88404,-3.02337,-3.26049
33;-0.124176,0.939652,0.119338,-0.625905,0.73366,0.217896,0.771059,0.902136,0.924168,0.267795,-0.915167,-0.826949,-0.152059,-0.725919,0.500873,-0.881525,0.864153,-0.837127,-0.161055,-0.705001;-6.16733,3.08051,-0.434176,0.0847617
34;-0.170861,0.852135,0.576128,-0.480135,0.290048,-0.592473,0.926132,0.914724,0.842889,0.152797,-0.11979,-0.695759,0.236003,-0.259763,-0.966699,-0.847738,0.815542,-0.81328,0.333732,-0.828115;-3.11546,-0.521558,-0.142667,4.04983
