Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
35;0.216246,-0.831046,-0.114053,-0.570697,0.671391,0.163693,0.638018,-0.711693,-0.902874,-0.584539,0.623491,-0.141883;0.243889,-0.77788,-1.37541,5.64473
36;-0.328986,-0.807815,-0.0333074,-0.296279,0.73716,0.186604,0.812142,-0.773562,-0.697326,-0.107401,0.127641,0.34708;1.10282,-2.95342,-0.376122,5.85826
37;0.114197,-0.955005,0.609622,-0.509748,0.0501808,-0.313569,0.695546,-0.748534,-0.463664,0.176652,0.2958,0.69934;2.3133,-7.22879,0.462559,4.40232
38;0.552088,-0.96009,0.919723,-0.585335,-0.0871697,-0.695545,0.60333,0.257642,0.0457277,0.600383,0.466687,0.881847;4.29049,-6.73271,3.19404,1.18804
39;-0.3465,-0.906585,0.942299,-0.296279,-0.240292,0.857578,0.853287,0.031771,0.421553,-0.0571854,-0.198105,0.386842;-0.225383,-4.12152,3.83243,-0.202797
40;0.355718,-0.266645,-0.367221,0.202444,-0.115049,0.392534,0.83371,-0.0738423,-0.565987,0.0757733,0.597254,-0.0555479;0.630953,-1.8771,0.614822,3.38375
41;0.358566,-0.105487,-0.444363,0.202444,0.0922163,0.433232,0.48656,-0.0604671,-0.263098,-0.178646,0.470529,-0.169659;0.507156,1.9936,0.314979,3.26132
42;0.363264,-0.0626281,-0.559737,0.202444,0.394804,0.423564,0.347993,0.165725,-0.413283,-0.138812,0.482576,-0.229374;1.66671,3.82435,-0.433433,3.51161
43;0.37009,-0.040097,-0.596834,0.202444,0.381767,0.615755,0.308039,0.0607302,-0.55177,-0.142621,0.479731,-0.244988;1.92547,4.18226,-1.30181,3.90952
44;0.393994,-0.5375,-0.352105,-0.209149,0.206781,0.672104,0.364965,-0.176471,-0.82727,-0.538216,0.653234,-0.608134;0.650018,1.89851,-1.87953,3.67051
45;-0.149024,-0.373972,-0.71134,0.130097,0.428104,0.570404,0.857555,-0.443653,-0.595487,-0.087583,0.273781,-0.115637;0.0277298,-0.172267,0.129289,5.14417
46;-0.334628,-0.811237,-0.324672,-0.296279,0.612046,0.401467,0.575506,-0.830338,-0.801662,0.00496391,0.276712,0.35418;1.80955,-2.05032,-1.33788,6.32895
47;0.179387,-0.84442,0.377676,-0.391514,0.54027,-0.55398,0.663224,-0.74011,-0.890806,0.517904,0.545464,0.737117;4.86241,-6.72718,-0.281115,5.77881
48;0.177576,-0.881232,0.919269,-0.391514,0.101182,-0.430767,0.6822,-0.438671,-0.424979,0.451672,0.241109,0.731463;4.11694,-7.78194,1.09456,3.29817
49;0.202702,-0.908929,0.899793,-0.570697,-0.193398,0.337966,0.66627,-0.534336,-0.348426,-0.503726,0.39879,-0.0773362;-0.0580161,-4.96095,0.82634,2.19366
50;0.195329,-0.838274,-0.0175082,-0.570697,0.600754,0.26778,0.682054,-0.472029,-0.727625,-0.540696,0.614827,-0.113493;0.0898012,-0.672971,-0.418664,4.65762
51;0.215154,-0.834161,0.00116338,-0.570697,0.644716,0.374636,0.64056,-0.665113,-0.875503,-0.588135,0.597829,-0.140327;0.328928,-0.41365,-1.35394,5.16122
52;0.216246,-0.831046,-0.114039,-0.570697,0.671389,0.163705,0.638018,-0.711691,-0.902871,-0.584538,0.623487,-0.141883;0.24391,-0.777878,-1.37541,5.64469
53;0.216909,-0.830864,0.0556786,-0.570697,0.67041,0.115958,0.636085,-0.721014,-0.861657,-0.589959,0.571603,-0.143061;0.427982,-1.15767,-1.20884,5.37044
54;0.216884,-0.830726,0.0931292,-0.570697,0.673278,0.0941154,0.635971,-0.705648,-0.84907,-0.578942,0.559161,-0.14313;0.526743,-1.26574,-1.12778,5.28268
