Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
33;-0.0932176,-0.506461,0.856071,-0.352428,0.839972,0.32668,-0.648066,-0.0801783,0.738209,0.432458,-0.217827,-0.734433;-5.23789,-0.492729,-3.28253,-0.0126091
34;-0.543969,-0.506461,0.845299,-0.352428,0.735987,0.631291,-0.581935,-0.5466,0.781875,0.432458,-0.350437,-0.85685;-7.00158,-0.239836,-4.18982,-0.510173
35;-0.806531,-0.0644524,0.634678,-0.0799104,0.905208,-0.0750341,-0.351939,-0.92262,0.569771,0.460738,-0.45507,-0.867461;-9.41099,-0.188872,-7.33762,-0.665869
36;0.0544598,-0.270184,0.722383,-0.505792,0.939651,0.0308596,-0.112431,-0.859164,0.109788,0.535598,-0.114146,-0.147627;-7.48165,-1.19203,-1.33517,0.11841
37;-0.0761591,-0.270184,0.500543,-0.505792,0.812843,0.52915,-0.374939,-0.483154,0.35485,0.535598,-0.125932,-0.175266;-4.91911,-0.838211,-0.0100819,-0.296469
38;-0.916272,-0.424686,0.764646,-0.513808,-0.332871,0.255237,-0.745433,-0.798784,0.667461,0.212506,-0.536016,-0.855871;-4.20074,-0.731041,-5.63905,0.318038
39;-0.378296,-0.506461,0.790331,-0.352428,0.820765,0.205518,-0.648066,-0.87238,0.738209,0.432458,-0.226515,-0.744265;-7.26798,-0.569982,-4.17523,0.00832055
40;-0.408107,-0.506461,0.843947,-0.352428,0.703165,0.561566,-0.581935,-0.699424,0.781875,0.432458,-0.213316,-0.729219;-6.4345,-0.204298,-3.32875,-0.373313
41;-0.803193,-0.0644524,0.669832,-0.0799104,0.875903,0.0946656,-0.351939,-0.902576,0.569771,0.460738,-0.431936,-0.849507;-9.19242,-0.0671475,-6.93072,-0.77276
42;-0.197095,-0.270184,0.726476,-0.505792,0.942222,0.1116,-0.112431,-0.858387,0.109788,0.535598,-0.117872,-0.156384;-7.50068,-1.07659,-1.94467,-0.217473
43;-0.185544,-0.270184,0.497388,-0.505792,0.817731,0.530153,-0.374939,-0.635167,0.35485,0.535598,-0.126076,-0.175602;-5.33882,-0.826651,-0.327135,-0.376464
