0;38;76
1;45.0711;83.0711
2;52.1421;90.1421
3;52.1421;90.1421
4;45.0711;97.2132
5;38;104.284
6;30.9289;111.355
7;30.9289;111.355
8;30.9289;111.355
9;23.8579;104.284
10;16.7868;97.2132
11;9.71573;90.1421
12;9.71573;90.1421
13;9.71573;90.1421
14;16.7868;83.0711
15;16.7868;83.0711
16;23.8579;90.1421
17;23.8579;90.1421
18;16.7868;97.2132
19;9.71573;104.284
20;9.71573;104.284
21;9.71573;104.284
22;9.71573;104.284
23;16.7868;97.2132
24;16.7868;97.2132
25;23.8579;104.284
26;30.9289;111.355
27;30.9289;111.355
28;30.9289;111.355
29;30.9289;111.355
30;23.8579;104.284
31;16.7868;97.2132
32;9.71573;90.1421
33;9.71573;90.1421
34;9.71573;90.1421
35;16.7868;83.0711
36;16.7868;83.0711
37;23.8579;90.1421
38;23.8579;90.1421
39;16.7868;97.2132
40;9.71573;104.284
41;9.71573;104.284
42;9.71573;104.284
43;9.71573;104.284
44;16.7868;97.2132
45;16.7868;97.2132
46;23.8579;104.284
47;30.9289;111.355
48;30.9289;111.355
49;30.9289;111.355
50;30.9289;111.355
51;23.8579;104.284
52;16.7868;97.2132
53;9.71573;90.1421
54;9.71573;90.1421
55;9.71573;90.1421
56;16.7868;83.0711
57;16.7868;83.0711
58;23.8579;90.1421
59;23.8579;90.1421
60;16.7868;97.2132
61;9.71573;104.284
62;9.71573;104.284
63;9.71573;104.284
64;9.71573;104.284
65;16.7868;97.2132
66;16.7868;97.2132
67;23.8579;104.284
68;30.9289;111.355
69;30.9289;111.355
70;30.9289;111.355
71;30.9289;111.355
72;23.8579;104.284
73;16.7868;97.2132
74;9.71573;90.1421
75;9.71573;90.1421
76;9.71573;90.1421
77;16.7868;83.0711
78;16.7868;83.0711
79;23.8579;90.1421
80;23.8579;90.1421
81;16.7868;97.2132
82;9.71573;104.284
83;9.71573;104.284
84;9.71573;104.284
85;9.71573;104.284
86;16.7868;97.2132
87;16.7868;97.2132
88;23.8579;104.284
89;30.9289;111.355
90;30.9289;111.355
91;30.9289;111.355
92;30.9289;111.355
93;23.8579;104.284
94;16.7868;97.2132
95;9.71573;90.1421
96;9.71573;90.1421
97;9.71573;90.1421
98;16.7868;83.0711
99;16.7868;83.0711
100;23.8579;90.1421
101;23.8579;90.1421
102;16.7868;97.2132
103;9.71573;104.284
104;9.71573;104.284
105;9.71573;104.284
106;9.71573;104.284
107;16.7868;97.2132
108;16.7868;97.2132
109;23.8579;104.284
110;30.9289;111.355
111;30.9289;111.355
112;30.9289;111.355
113;30.9289;111.355
114;23.8579;104.284
115;16.7868;97.2132
116;9.71573;90.1421
117;9.71573;90.1421
118;9.71573;90.1421
119;16.7868;83.0711
120;16.7868;83.0711
121;23.8579;90.1421
122;23.8579;90.1421
123;16.7868;97.2132
124;9.71573;104.284
125;9.71573;104.284
126;9.71573;104.284
127;9.71573;104.284
128;16.7868;97.2132
129;16.7868;97.2132
130;23.8579;104.284
131;30.9289;111.355
132;30.9289;111.355
133;30.9289;111.355
134;30.9289;111.355
135;23.8579;104.284
136;16.7868;97.2132
137;9.71573;90.1421
138;9.71573;90.1421
139;9.71573;90.1421
140;16.7868;83.0711
141;16.7868;83.0711
142;23.8579;90.1421
143;23.8579;90.1421
144;16.7868;97.2132
145;9.71573;104.284
146;9.71573;104.284
147;9.71573;104.284
148;9.71573;104.284
149;16.7868;97.2132
150;16.7868;97.2132
151;23.8579;104.284
152;30.9289;111.355
153;30.9289;111.355
154;30.9289;111.355
155;30.9289;111.355
156;23.8579;104.284
157;16.7868;97.2132
158;9.71573;90.1421
159;9.71573;90.1421
160;9.71573;90.1421
161;16.7868;83.0711
162;16.7868;83.0711
163;23.8579;90.1421
164;23.8579;90.1421
165;16.7868;97.2132
166;9.71573;104.284
167;9.71573;104.284
168;9.71573;104.284
169;9.71573;104.284
170;16.7868;97.2132
171;16.7868;97.2132
172;23.8579;104.284
173;30.9289;111.355
174;30.9289;111.355
175;30.9289;111.355
176;30.9289;111.355
177;23.8579;104.284
178;16.7868;97.2132
179;9.71573;90.1421
180;9.71573;90.1421
181;9.71573;90.1421
182;16.7868;83.0711
183;16.7868;83.0711
184;23.8579;90.1421
185;23.8579;90.1421
186;16.7868;97.2132
187;9.71573;104.284
188;9.71573;104.284
189;9.71573;104.284
190;9.71573;104.284
191;16.7868;97.2132
192;16.7868;97.2132
193;23.8579;104.284
194;30.9289;111.355
195;30.9289;111.355
196;30.9289;111.355
197;30.9289;111.355
198;23.8579;104.284
199;16.7868;97.2132
200;9.71573;90.1421
201;9.71573;90.1421
202;9.71573;90.1421
203;16.7868;83.0711
204;16.7868;83.0711
205;23.8579;90.1421
206;23.8579;90.1421
207;16.7868;97.2132
208;9.71573;104.284
209;9.71573;104.284
210;9.71573;104.284
211;9.71573;104.284
212;16.7868;97.2132
213;16.7868;97.2132
214;23.8579;104.284
215;30.9289;111.355
216;30.9289;111.355
217;30.9289;111.355
218;30.9289;111.355
219;23.8579;104.284
220;16.7868;97.2132
221;9.71573;90.1421
222;9.71573;90.1421
223;9.71573;90.1421
224;16.7868;83.0711
225;16.7868;83.0711
226;23.8579;90.1421
227;23.8579;90.1421
228;16.7868;97.2132
229;9.71573;104.284
230;9.71573;104.284
231;9.71573;104.284
232;9.71573;104.284
233;16.7868;97.2132
234;16.7868;97.2132
235;23.8579;104.284
236;30.9289;111.355
237;30.9289;111.355
238;30.9289;111.355
239;30.9289;111.355
240;23.8579;104.284
241;16.7868;97.2132
242;9.71573;90.1421
243;9.71573;90.1421
244;9.71573;90.1421
245;16.7868;83.0711
246;16.7868;83.0711
247;23.8579;90.1421
248;23.8579;90.1421
249;16.7868;97.2132
250;9.71573;104.284
251;9.71573;104.284
252;9.71573;104.284
253;9.71573;104.284
254;16.7868;97.2132
255;16.7868;97.2132
256;23.8579;104.284
257;30.9289;111.355
258;30.9289;111.355
259;30.9289;111.355
260;30.9289;111.355
261;23.8579;104.284
262;16.7868;97.2132
263;9.71573;90.1421
264;9.71573;90.1421
265;9.71573;90.1421
266;16.7868;83.0711
267;16.7868;83.0711
268;23.8579;90.1421
269;23.8579;90.1421
270;16.7868;97.2132
271;9.71573;104.284
272;9.71573;104.284
273;9.71573;104.284
274;9.71573;104.284
275;16.7868;97.2132
276;16.7868;97.2132
277;23.8579;104.284
278;30.9289;111.355
279;30.9289;111.355
280;30.9289;111.355
281;30.9289;111.355
282;23.8579;104.284
283;16.7868;97.2132
284;9.71573;90.1421
285;9.71573;90.1421
286;9.71573;90.1421
287;16.7868;83.0711
288;16.7868;83.0711
289;23.8579;90.1421
290;23.8579;90.1421
291;16.7868;97.2132
292;9.71573;104.284
293;9.71573;104.284
294;9.71573;104.284
295;9.71573;104.284
296;16.7868;97.2132
297;16.7868;97.2132
298;23.8579;104.284
299;30.9289;111.355
300;30.9289;111.355
