Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
10;-0.516037,-0.245848,0.498965,0.406014,0.298225,-0.51908,-0.252299,-0.182346,-0.664698,0.845181,0.765836,-0.858635,0.937856,-0.986074,-0.23455,-0.776167,0.99169,-0.247357,0.528934,-0.0816725,-0.0702645,-0.711496,0.303767,-0.147166,-0.317432,-0.463998,0.125997,0.10944,-0.953896,0.0713956,0.465022,-0.842156,-0.160968,-0.384104,-0.201456,0.676363,0.651903,0.547461,0.338098,0.602025,-0.777072,-0.109588,-0.919432,0.735218,0.572419,0.462848,0.0844688,0.106854,0.636938,-0.923626;0.581848,-10.1065,-0.57753,0.797241
11;-0.751901,-0.337145,0.51958,0.423604,0.41877,-0.088053,0.363017,-0.750781,-0.51286,0.843866,0.854063,-0.946353,0.950822,-0.983339,0.168605,-0.564736,0.9692,-0.486085,0.39435,-0.501309,-0.165363,-0.507938,0.435645,-0.226715,-0.238802,-0.787567,-0.399524,0.732346,-0.944244,-0.187529,0.695842,-0.90287,-0.619369,-0.533868,0.338347,0.756327,0.523889,0.593855,0.301313,0.28245,-0.527067,0.112973,-0.904572,0.160385,0.277325,0.801514,0.150881,0.121114,0.650635,-0.978578;0.296455,-11.4597,-2.5423,3.93137
12;-0.646885,-0.529572,0.486577,0.519343,0.404581,-0.343227,0.0538712,-0.676723,-0.653759,0.918853,0.900049,-0.946881,0.958894,-0.990203,0.166341,-0.368336,0.979971,-0.425205,0.332781,-0.639926,-0.223688,-0.496429,0.36569,0.0280082,-0.64003,-0.768021,-0.321861,0.491594,-0.971005,-0.191483,0.630219,-0.825652,-0.800975,-0.722727,0.39415,0.513338,0.759198,0.187908,0.205396,0.400508,-0.695698,0.214502,-0.909826,0.335352,0.25087,0.431386,0.183432,0.194209,0.77217,-0.984577;1.56177,-12.0298,-1.91094,0.596762
13;-0.543468,-0.520138,0.614886,0.242649,-0.143217,-0.27094,-0.325853,-0.505946,-0.469921,0.573404,0.433715,-0.838253,0.948781,-0.989094,0.297898,-0.567692,0.984162,-0.643725,0.546403,0.0674306,-0.421403,-0.379151,-0.0820396,0.492597,-0.442676,-0.710338,0.294379,0.600892,-0.930527,-0.0691936,0.356017,-0.872925,-0.339118,0.116008,0.350231,0.108363,0.631117,0.525387,-0.426761,0.49114,-0.84498,-0.0133987,-0.705874,0.333156,0.2321,0.720943,-0.518591,0.51487,0.151314,-0.966141;0.00127994,-10.6196,-0.966546,1.43049
14;-0.428005,-0.0282385,0.578601,0.498272,0.315949,-0.142971,-0.0208621,-0.374625,-0.636189,0.3736,0.77198,-0.767739,0.829134,-0.990457,0.0982674,-0.703392,0.972416,-0.755487,0.733994,0.0304881,-0.25771,-0.693405,0.700212,0.243001,0.0416415,-0.436293,0.0869666,0.666352,-0.962029,0.529074,0.524117,-0.892133,-0.571275,-0.221317,-0.456742,0.55864,0.625543,0.148676,0.645879,0.317125,-0.418243,0.368307,-0.875793,0.5324,0.574707,0.788641,0.129704,0.641361,0.68043,-0.910358;-1.9452,-11.1569,-1.82006,3.72222
15;-0.888321,-0.0531505,0.453782,-0.0703653,0.0277417,-0.0370742,-0.0327482,-0.533483,-0.492606,0.666965,0.70424,-0.963773,0.957925,-0.986844,0.189463,-0.691306,0.983868,-0.401146,0.203493,-0.338454,-0.000772524,-0.651383,0.658858,0.125525,-0.263513,-0.774207,-0.482452,0.579286,-0.972927,0.443781,0.593769,-0.954023,-0.812073,-0.551484,0.749114,0.622831,0.302471,-0.324227,0.247515,0.10672,-0.881977,0.725199,-0.514469,0.0297356,0.371772,0.869912,0.0983373,-0.159114,0.428117,-0.982254;-1.57311,-14.9771,0.615418,3.14609
16;-0.783211,-0.208966,0.518944,0.19853,0.00923573,-0.312812,-0.469872,-0.0645534,-0.365355,0.8293,0.914069,-0.965218,0.963968,-0.995429,0.334774,-0.771034,0.992964,0.104457,0.176012,-0.431586,0.343021,-0.67535,0.561138,0.0500035,-0.596183,-0.725968,-0.524835,0.834461,-0.981653,0.0196741,0.506512,-0.871642,-0.908955,-0.60903,0.835998,0.588728,0.664732,-0.134908,0.248107,0.0437176,-0.859393,0.289931,-0.320034,0.314355,0.516471,0.720977,0.513725,-0.122651,0.39916,-0.976628;1.39748,-13.1536,2.18974,0.946077
17;-0.158244,0.0235984,0.809961,0.384836,-0.179902,-0.413239,-0.754013,-0.260672,-0.623658,0.11701,0.676066,-0.703874,0.902332,-0.99571,0.0365834,-0.119293,0.989063,-0.135741,0.882744,0.626906,0.0789539,-0.674244,-0.558968,0.0880294,-0.707515,-0.798536,0.63389,0.832632,-0.814717,-0.644705,0.528956,-0.673128,-0.71838,0.618191,0.691397,0.0399812,0.765047,0.817781,0.0919597,0.221187,-0.679318,-0.388947,-0.163554,0.818964,0.0577066,0.902986,-0.452329,0.732186,0.0235655,-0.896199;2.095,-7.15825,0.598301,-0.174776
18;-0.327517,0.6473,0.613384,0.293357,-0.0576436,0.559781,-0.378198,-0.739473,-0.0156075,-0.778741,0.0227294,0.13637,0.245126,-0.979753,-0.0135888,0.272131,0.805997,-0.82525,0.836873,0.45822,0.153795,-0.338295,-0.0290262,0.405971,-0.0959168,-0.0612284,0.779709,0.384581,-0.88383,-0.38627,0.538516,-0.903941,-0.413412,0.566942,-0.372381,0.562011,-0.202865,-0.00179018,0.300952,-0.362821,-0.14649,-0.248473,-0.580075,0.77256,-0.558458,0.946606,-0.035183,0.820973,0.411068,-0.770204;-4.82194,-4.11281,-0.84697,2.43084
19;-0.671586,0.113064,0.585113,0.12155,-0.0529173,0.26817,-0.752245,-0.40222,-0.446299,-0.700326,-0.129677,0.55079,0.766811,-0.917029,-0.0547907,-0.00914774,0.465309,-0.825913,0.620335,0.431481,0.254529,-0.479123,-0.209725,0.514026,0.102219,-0.157547,0.341926,-0.243815,-0.810677,-0.150329,0.395402,-0.887149,-0.15502,0.649703,-0.11722,0.646998,-0.350464,-0.44243,0.555269,-0.252809,-0.0831818,0.390781,0.43369,0.720103,-0.636153,0.871249,-0.428086,0.650711,0.444448,-0.818596;-4.33875,-3.96797,1.52805,-1.20901
