Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.142653,-0.175347,0.10921,0.416477,0.356611,-0.476709,-0.078903,0.0571051,-0.506529,0.371131,0.773952,0.346823,-0.427194,-0.524808,-0.28029,-0.585223,0.10845,-0.0692879,0.142114,-0.120738,0.354979,-0.436282,0.373622,-0.373339,0.259272,0.290885,0.256127,-0.00113529,-0.766263,-0.240181,0.715293,-0.0874496,0.146848,-0.00758065,-0.287798,0.535576,0.01549,0.363559,0.703765,0.244283,0.220658,-0.620093,-0.477558,0.48159,-0.176518,0.151431,0.218253,-0.491402,0.669131,-0.370878;-1.02168,1.86439,0.90317,4.15145
1;-0.508406,-0.767422,-0.370011,-0.0460128,0.390507,0.0327632,0.23713,-0.388655,-0.308475,0.557794,0.848406,-0.122242,-0.167369,-0.180049,-0.371207,-0.675183,0.17077,-0.404184,0.0335255,-0.608993,-0.0655241,-0.0973198,0.579197,-0.186223,0.374587,0.477975,-0.0782285,-0.820788,-0.694968,0.207211,0.645929,-0.648416,0.469652,-0.283793,-0.215778,0.491477,-0.080042,0.773085,0.184858,0.525838,-0.574586,-0.933194,-0.906081,-0.218191,0.065505,0.21042,-0.540198,-0.645253,0.83227,-0.686185;-0.307022,-3.14151,-0.274315,2.80657
2;-0.640144,-0.620507,-0.336901,-0.329644,-0.0156528,-0.599507,0.114166,-0.369239,-0.0640409,0.667879,0.770934,-0.395721,0.266619,-0.685959,0.00135973,-0.90239,0.567198,0.248736,-0.65653,-0.679924,-0.172827,-0.618266,0.801643,-0.108184,0.727172,0.526017,-0.284856,-0.149876,-0.931907,0.416421,0.610849,-0.685765,0.480443,-0.59713,0.472167,0.772042,-0.81267,-0.244573,-0.0865389,-0.412906,-0.787573,-0.869224,-0.804853,-0.824868,0.342426,0.365131,0.503578,-0.937564,0.28625,-0.704196;-1.90085,-1.7142,0.492829,4.56861
3;-0.827971,-0.736036,0.10179,-0.342226,0.101808,-0.639612,-0.362079,0.200731,0.305762,0.919431,0.834047,-0.707918,0.678234,-0.622322,0.400851,-0.596708,0.677756,0.501119,-0.563622,-0.688197,0.338404,-0.356466,0.409798,-0.0166486,0.314025,0.100625,-0.843437,0.420927,-0.962026,-0.470281,0.655893,-0.757504,-0.655174,-0.743158,0.840422,0.298092,-0.604939,-0.494739,0.460174,-0.789358,-0.69075,-0.873841,-0.660132,-0.73775,-0.00650972,0.447314,0.709776,-0.875572,0.833146,-0.910976;-1.92424,-4.06943,0.568198,3.17463
4;-0.724447,-0.54025,0.240383,-0.392389,0.0838043,-0.514504,-0.553301,0.283719,0.622986,0.9195,0.833496,-0.842673,0.627948,-0.917359,0.190877,-0.364692,0.822623,0.532522,-0.0807542,-0.757026,0.583081,-0.35227,0.258887,0.367722,-0.375712,0.133932,-0.734713,0.239094,-0.960406,-0.713176,0.627547,-0.631844,-0.833767,-0.76981,0.750243,0.396907,-0.260268,0.140589,0.364979,-0.56207,-0.869822,-0.889218,-0.596634,-0.307849,0.0553731,0.407402,0.771234,-0.889554,0.902139,-0.90723;-1.84577,-6.59896,3.23803,0.6483
5;-0.808447,-0.82361,0.853273,0.192183,-0.0330853,-0.383394,-0.781348,-0.513781,0.0704359,0.823062,0.850007,-0.950903,0.968188,-0.983638,0.536952,0.0730922,0.822788,-0.315604,0.518601,-0.246617,-0.377665,0.00904388,-0.503178,0.624697,-0.703915,-0.885774,-0.70041,0.736118,-0.68438,-0.709612,0.35516,-0.624488,-0.874586,0.185959,0.821721,0.403229,0.55529,0.930682,0.232797,-0.0115916,-0.870669,-0.664811,-0.573235,0.384153,0.107091,0.761138,-0.290507,0.228149,0.812219,-0.967255;1.63274,-4.39373,0.435708,0.916336
6;-0.128213,0.269603,0.893633,0.570267,-0.18542,-0.16421,-0.762203,-0.746024,-0.710478,-0.398117,0.707395,-0.863239,0.858444,-0.998401,0.0347352,0.163428,0.932406,-0.654493,0.896063,0.6118,-0.418183,-0.593879,-0.240614,0.55935,-0.330294,-0.79901,0.642157,0.754938,-0.88728,-0.486568,0.456672,-0.528148,-0.65489,0.284475,0.151046,0.451024,0.255078,0.0582771,0.450515,0.19355,-0.749636,0.0841318,-0.620761,0.751377,0.18443,0.956357,-0.347542,0.689806,0.334337,-0.870908;2.81322,0.113423,0.274334,4.48814
7;-0.564883,0.613298,0.811115,0.295305,-0.142955,0.258927,-0.848452,-0.442689,-0.8149,-0.77159,0.35741,-0.508949,0.911354,-0.994642,-0.0641506,-0.0893149,0.958164,-0.772291,0.90746,0.764233,-0.160817,-0.555597,0.0170618,0.350388,-0.162042,-0.820184,0.479723,0.592208,-0.884853,0.466883,0.416027,-0.919502,-0.495627,0.812133,0.146725,0.526157,0.390298,-0.163121,0.556411,0.407426,-0.678918,0.564283,0.0145398,0.86874,0.0362394,0.967346,-0.646849,0.909501,0.071707,-0.916956;3.88611,-1.89048,-0.301872,6.07332
8;-0.758141,0.0863061,0.535057,0.608279,-0.117601,0.126796,-0.549424,-0.344407,-0.362933,-0.795187,0.171217,-0.549867,0.950334,-0.994681,0.134,-0.613199,0.938266,-0.965033,0.818054,0.306644,-0.494926,-0.4179,0.329787,0.596128,-0.0318286,-0.7214,0.0363504,0.800463,-0.882295,0.682876,0.164106,-0.936314,-0.524799,0.770897,-0.0727649,0.34092,0.604884,0.515435,0.205302,0.65353,-0.816193,0.709251,-0.0893921,0.704806,0.147687,0.931755,-0.670494,0.932761,0.190184,-0.934202;4.78663,-4.64177,-0.308863,5.22279
9;-0.492755,-0.00625358,0.345797,0.775134,0.308377,-0.385002,-0.0155639,-0.458144,-0.656197,-0.0778119,0.682771,-0.365919,0.846874,-0.993514,-0.158874,-0.771029,0.948014,-0.91757,0.794516,0.141467,-0.435314,-0.703877,0.713954,0.168878,-0.197079,-0.467166,0.0439422,0.738519,-0.946835,0.83215,0.503797,-0.882647,-0.444303,0.161191,-0.390745,0.598371,0.787802,0.112627,0.733404,0.727647,-0.516929,0.732791,-0.767609,0.730456,0.45022,0.834392,0.11393,0.617639,0.533308,-0.893566;1.42013,-1.94164,3.37238,7.03884
10;-0.799616,-0.375889,0.453731,0.6237,0.416568,-0.423011,0.348737,-0.603156,-0.672195,0.677097,0.772549,-0.885401,0.950996,-0.984629,-0.0244016,-0.538538,0.941591,-0.796955,0.477062,-0.298545,-0.0299914,-0.487191,0.473396,-0.205259,-0.541297,-0.79407,-0.323121,0.663248,-0.949052,0.50453,0.659488,-0.913354,-0.67806,-0.543821,0.385385,0.649861,0.777906,0.00212714,0.505391,0.68305,-0.64259,0.636276,-0.709982,0.433291,0.0951754,0.734243,-0.320992,0.242494,0.590601,-0.982299;0.603558,-3.34138,3.72832,5.28769
11;-0.618128,-0.486398,0.435101,0.664861,0.406656,-0.187527,0.236077,-0.512545,-0.651595,0.900048,0.863547,-0.94004,0.946127,-0.993029,0.0767222,-0.542796,0.979543,-0.461816,0.294372,-0.573342,0.178963,-0.505163,0.540501,-0.0886247,-0.680129,-0.766246,-0.165188,0.677517,-0.965602,-0.0218425,0.57677,-0.854783,-0.712428,-0.736354,0.374987,0.550238,0.83764,0.347046,0.141968,0.642101,-0.682892,0.466868,-0.793943,0.383778,0.21922,0.343736,0.120769,0.184084,0.574448,-0.984258;0.592313,-4.89727,5.97807,4.11496
12;0.0499904,0.553712,0.754313,0.126147,-0.464066,-0.338529,-0.338275,-0.640208,-0.574879,0.708752,0.0455217,-0.413815,0.845481,-0.977929,0.330416,-0.0617333,0.983828,-0.21084,0.757319,0.622142,-0.172685,-0.727863,-0.464388,-0.0626219,-0.513644,-0.589705,0.797008,0.758782,-0.951838,-0.80314,0.491368,-0.9167,-0.506127,0.247005,0.311398,0.404827,0.510448,0.405664,-0.349489,0.0448102,-0.239445,-0.358914,-0.0474575,0.256125,-0.420154,0.884736,-0.0777426,0.571033,-0.463811,-0.827825;1.65571,-0.511295,-0.44907,3.13258
13;-0.502949,0.862818,0.834849,0.211756,-0.439166,0.0382758,-0.67356,-0.465059,-0.540688,-0.402559,-0.0182116,-0.525191,0.757321,-0.95999,0.440243,0.266512,0.961589,-0.755177,0.881508,0.687509,-0.275563,-0.741301,-0.224103,0.308446,0.0787738,-0.593496,0.682839,0.592284,-0.950787,-0.641322,0.100754,-0.958173,-0.773106,0.614925,-0.345263,0.646074,-0.105506,0.0467791,0.191865,-0.635516,0.215739,0.138635,-0.322174,0.774293,-0.325985,0.957672,-0.414123,0.964282,0.265567,-0.677105;5.5833,3.92174,0.119047,4.59183
14;-0.672106,0.503393,0.672242,0.253067,-0.0560574,0.244627,-0.757269,-0.348079,-0.114454,-0.736944,-0.21506,0.356687,0.800395,-0.962658,-0.0377926,-0.0351835,0.837676,-0.853282,0.726937,0.570685,0.176745,-0.490222,-0.102576,0.707919,-0.0718895,-0.15512,0.427122,0.0642666,-0.878341,-0.595405,0.452374,-0.892905,-0.388088,0.467845,-0.264525,0.396263,-0.163641,-0.413799,0.676672,-0.351113,0.00192963,0.567255,-0.142455,0.903571,-0.632255,0.916342,-0.131231,0.755941,0.562763,-0.731149;3.97189,1.18497,-0.449266,4.33111
15;-0.601481,0.504753,0.69031,0.283509,-0.064341,0.100229,-0.716217,-0.228983,-0.0521195,-0.720441,-0.318034,0.542552,0.679845,-0.974249,-0.214805,-0.436477,0.628543,-0.79499,0.625058,0.60761,0.407268,-0.494064,-0.267287,0.523105,0.13218,-0.147886,0.369886,0.0728896,-0.86484,-0.458185,0.391985,-0.837565,0.00621471,0.557393,-0.138756,0.73217,-0.0776822,-0.253564,0.686167,0.2274,-0.174349,0.453624,0.677919,0.686278,-0.619061,0.884321,-0.492882,0.572279,0.0849357,-0.783455;3.9537,-1.39429,-2.71423,4.60571
16;-0.536861,0.527602,0.629223,0.583214,-0.066194,0.378339,-0.580043,-0.243779,-0.0589592,-0.741848,-0.0652826,0.588467,0.231306,-0.953944,-0.221755,-0.399579,0.57254,-0.786556,0.620525,0.531644,0.255044,-0.468968,-0.0946025,0.148785,0.440079,-0.136584,0.409769,0.286684,-0.820709,-0.423544,0.325602,-0.776952,0.100541,0.592983,-0.179676,0.695138,-0.0590812,0.046163,0.648324,0.233314,-0.234844,0.348013,0.675762,0.529941,-0.57308,0.880864,-0.486085,0.739287,-0.125669,-0.7064;5.06072,-0.840646,-3.77241,4.48293
17;-0.526434,0.256054,0.483196,0.682284,-0.0649029,0.309362,-0.525654,-0.355266,-0.345365,-0.712729,0.100833,0.591451,0.208501,-0.901847,-0.19372,-0.265439,0.502298,-0.818553,0.622496,0.325905,-0.0317237,-0.427144,-0.078507,0.156108,0.435864,-0.140265,0.448944,-0.137708,-0.682583,-0.36115,0.310046,-0.811909,0.212984,0.589886,-0.137561,0.625819,-0.10825,0.0724258,0.535049,0.184212,-0.333943,0.284185,0.466249,0.519665,-0.617784,0.872332,-0.558947,0.781551,0.0113813,-0.679912;5.01985,-0.511622,-4.14591,4.29278
18;-0.156446,0.250605,0.192367,0.766993,0.369284,0.0264025,-0.239243,-0.147699,-0.672019,-0.167147,0.539782,0.562617,-0.293157,-0.910165,-0.527711,-0.687971,0.661929,-0.629879,0.503466,0.110443,0.341877,-0.738851,0.497487,-0.182406,0.452778,0.279294,0.418567,-0.440094,-0.868629,0.0590707,0.571116,-0.750322,0.522689,0.0453583,-0.567503,0.904789,-0.251851,-0.394874,0.813513,0.301826,0.00733689,0.0276941,-0.176514,0.538411,-0.320573,0.773942,-0.106269,0.253577,0.369934,-0.59218;1.77856,2.43282,-1.53604,5.85261
19;-0.20346,-0.237274,0.0102484,0.314156,0.36843,0.0471658,-0.185542,0.0351199,-0.766396,0.213688,0.608964,0.422202,-0.142384,-0.652696,-0.605554,-0.72334,0.733669,-0.169939,0.257304,0.113635,0.550044,-0.733775,0.415569,-0.492747,0.486033,0.242552,0.31047,-0.714057,-0.7059,0.0295136,0.681023,-0.802471,0.653205,-0.0474033,-0.137127,0.84236,-0.344191,0.231427,0.578345,0.241849,-0.166141,-0.598422,-0.0859901,0.0753881,-0.317509,0.733251,-0.532456,-0.23373,0.252859,-0.790593;0.782806,0.180287,-2.59523,4.60763
20;-0.428397,-0.638029,-0.371575,0.174019,0.392004,-0.027031,0.175994,-0.185223,-0.200827,0.478912,0.729511,0.0638677,-0.226174,-0.562301,-0.362202,-0.835982,0.711236,-0.446589,-0.124027,-0.574869,-0.130823,-0.514306,0.715644,0.0426203,0.610833,0.488566,-0.242717,-0.58615,-0.784382,0.364012,0.564886,-0.841135,0.577179,-0.206478,-0.300643,0.779845,-0.437476,0.748546,0.157375,0.171146,-0.544394,-0.879363,-0.834403,-0.53644,0.00181716,0.383648,-0.378473,-0.254227,0.659227,-0.837113;0.736058,-1.57443,-1.53148,3.56209
21;-0.633586,-0.688864,-0.223055,-0.396809,-0.0209989,-0.504925,-0.0803405,-0.244069,-0.110824,0.670334,0.696424,-0.323796,0.250181,-0.487133,-0.0101194,-0.880716,0.765209,0.0624615,-0.553468,-0.432064,-0.240037,-0.672088,0.785225,0.0996965,0.741605,0.520364,-0.449119,-0.356895,-0.906574,0.419183,0.574946,-0.841255,0.332278,-0.629815,0.420082,0.642607,-0.813093,-0.341014,0.133771,-0.561061,-0.788826,-0.770728,-0.799826,-0.826105,0.241203,0.495006,0.392372,-0.916412,0.433386,-0.827848;-2.22371,-2.04504,-0.740959,4.27456
22;-0.829647,-0.684804,0.23369,-0.294204,0.0965199,-0.693943,-0.398067,0.253964,0.346099,0.887699,0.830941,-0.732769,0.639925,-0.722564,0.314833,-0.682134,0.766499,0.511371,-0.553556,-0.605038,0.363295,-0.445807,0.463753,0.179373,0.231825,0.0958941,-0.840341,0.427351,-0.954907,-0.461064,0.646709,-0.76814,-0.650505,-0.809254,0.833557,0.521323,-0.649318,-0.554721,0.570628,-0.746928,-0.754436,-0.833969,-0.547595,-0.702809,-0.00792648,0.451532,0.687545,-0.870441,0.804599,-0.926488;-2.0652,-3.96014,0.819966,3.27328
23;-0.724488,-0.518095,0.330365,-0.345353,0.0839043,-0.374014,-0.57375,0.308868,0.612312,0.918937,0.84076,-0.83195,0.596302,-0.918404,0.144602,-0.373896,0.862586,0.561872,-0.0536737,-0.678954,0.623126,-0.357187,0.266908,0.336359,-0.393606,0.133314,-0.742327,0.225779,-0.955521,-0.735422,0.624233,-0.680288,-0.833608,-0.758597,0.761256,0.415165,-0.224044,0.121933,0.461522,-0.530026,-0.886802,-0.888103,-0.492924,-0.28701,0.0439176,0.465602,0.775905,-0.867309,0.8959,-0.914828;-1.7746,-6.90469,3.08006,0.706408
24;-0.805513,-0.811479,0.851221,0.251029,-0.0333326,-0.334968,-0.769731,-0.510161,0.049261,0.804428,0.850406,-0.953108,0.964001,-0.984833,0.508947,0.065641,0.837634,-0.3291,0.524676,-0.277181,-0.364605,-0.0200248,-0.506495,0.612338,-0.706991,-0.885556,-0.687504,0.715364,-0.661835,-0.70933,0.350157,-0.649871,-0.867275,0.20687,0.820178,0.439053,0.550357,0.937119,0.207484,0.016562,-0.888099,-0.669868,-0.518197,0.395024,0.100807,0.76824,-0.308413,0.315973,0.804963,-0.968553;1.88123,-4.52248,0.493037,0.949746
25;-0.126271,0.255483,0.892289,0.58982,-0.185015,-0.154259,-0.761733,-0.749174,-0.719167,-0.389241,0.678506,-0.859285,0.850612,-0.998351,0.0464851,0.154391,0.935501,-0.681359,0.892904,0.613645,-0.425379,-0.604359,-0.231169,0.557481,-0.323811,-0.799061,0.641956,0.741901,-0.885718,-0.473677,0.453668,-0.556778,-0.623322,0.292627,0.119669,0.468425,0.219894,0.0605474,0.443113,0.154339,-0.7385,0.147198,-0.606735,0.754356,0.166644,0.95585,-0.335146,0.693701,0.318229,-0.872877;2.88719,0.270111,0.448036,4.49676
