Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.491811,-0.301864,-0.34555,0.413679,-0.0369385,-0.259752,-0.530013,0.121449,0.279715,0.350094,0.150374,-0.298018;1.08749,-1.421,-1.68449,0.125673
1;-0.491811,-0.504133,-0.34555,0.742988,0.0860851,-0.255208,-0.530013,-0.0693033,0.387343,0.493634,0.105826,-0.298018;0.247152,-2.04106,-2.1536,-0.545192
2;-0.491811,-0.448879,-0.34555,0.742988,0.182352,-0.348392,-0.530013,-0.0126918,0.428782,0.491311,-0.19483,-0.298018;-0.696743,-2.14665,-1.59135,-0.464855
3;-0.491811,-0.445232,-0.34555,0.742988,0.182352,-0.483221,-0.530013,0.354097,0.428124,0.53753,-0.168127,-0.298018;-0.254997,-2.64035,-1.61242,-0.0136901
4;-0.572445,-0.183095,-0.0540551,0.378307,0.253551,-0.164719,-0.71996,0.698359,0.183452,0.653107,-0.00649512,-0.36394;0.150495,-2.13952,-1.17157,1.32809
5;-0.572445,-0.665753,-0.0540551,-0.0380866,0.149422,-0.388036,-0.71996,0.577224,0.221846,0.512228,-0.523509,-0.36394;-1.9164,-0.942057,0.184066,1.75515
6;-0.887064,-0.858393,-0.465661,-0.676496,0.602333,0.212847,-0.984506,0.928276,0.878339,0.824931,-0.412444,0.377875;-0.43503,-1.42216,0.263382,1.17072
7;-0.887064,-0.988705,-0.465661,-0.203812,0.467284,-0.528191,-0.984506,0.905934,0.900865,0.644908,-0.257274,0.377875;0.271969,-2.14988,-1.21293,0.511671
8;-0.887064,-0.938496,-0.465661,-0.203812,0.569933,-0.363796,-0.984506,0.863461,0.888429,0.852886,-0.0501123,0.377875;0.985771,-2.37143,-1.82768,0.554443
9;-0.870558,-0.943788,-0.221814,0.269487,0.750337,0.0262159,-0.837636,0.893797,0.848583,0.892818,-0.659625,0.561192;-2.30858,-3.07953,-0.366144,0.304804
10;-0.927918,-0.734141,-0.625736,-0.184626,0.715006,-0.632231,-0.924882,0.977708,0.946206,0.820034,-0.847249,0.812497;-0.537107,-2.61729,-0.584359,0.340969
11;-0.927918,-0.856983,-0.625736,0.394951,0.642284,-0.621489,-0.924882,0.986116,0.943501,0.921863,-0.319261,0.812497;0.751177,-3.81316,-2.22732,-0.466434
12;-0.840441,-0.928727,-0.486785,0.791292,0.792209,-0.563786,-0.714247,0.849741,0.915909,0.90879,-0.668298,0.609828;-1.6995,-4.32172,-1.70762,-0.772913
13;-0.840441,-0.833144,-0.486785,0.699823,0.832253,-0.665321,-0.714247,0.935364,0.915176,0.901765,-0.787679,0.609828;-1.77177,-4.27798,-1.48052,-0.504652
14;-0.840441,-0.857187,-0.486785,0.699823,0.823685,-0.71407,-0.714247,0.9519,0.91478,0.913804,-0.767003,0.609828;-1.64845,-4.3147,-1.59497,-0.458107
15;-0.840441,-0.863327,-0.486785,0.699823,0.823685,-0.711199,-0.714247,0.949365,0.915458,0.919071,-0.778503,0.609828;-1.69528,-4.31486,-1.56848,-0.450242
16;-0.840441,-0.865936,-0.486785,0.699823,0.823685,-0.710692,-0.714247,0.950791,0.915753,0.918769,-0.782637,0.609828;-1.7151,-4.31489,-1.55579,-0.449522
17;-0.840441,-0.865788,-0.486785,0.699823,0.823685,-0.710977,-0.714247,0.951294,0.915736,0.918716,-0.782903,0.609828;-1.71534,-4.31542,-1.55511,-0.448872
18;-0.870558,-0.731367,-0.221814,0.298543,0.846298,-0.362791,-0.837636,0.982795,0.854845,0.931545,-0.676009,0.561192;-1.59149,-3.4283,-1.00438,0.52301
19;-0.912172,-0.937018,-0.280617,-0.313561,0.892254,0.0911111,-0.938373,0.983761,0.914334,0.914976,-0.685992,0.389637;-2.27176,-2.28454,0.157291,0.934092
20;-0.973918,-0.966591,-0.343163,-0.624005,0.784784,-0.421119,-0.986165,0.983792,0.938741,0.626192,-0.537302,0.86823;-0.467322,-1.45095,-0.707572,0.674722
21;-0.973918,-0.947212,-0.343163,-0.5635,0.746592,-0.283995,-0.986165,0.976419,0.925675,0.793504,-0.069445,0.86823;1.28442,-1.78959,-1.83488,0.724856
22;-0.927918,-0.926933,-0.625736,-0.00518428,0.571109,-0.648707,-0.924882,0.903558,0.942483,0.877841,-0.708494,0.812497;-0.246184,-2.86953,-1.01402,0.215249
23;-0.927918,-0.834521,-0.625736,0.394951,0.672622,-0.451967,-0.924882,0.98029,0.94566,0.923516,-0.463457,0.812497;0.0353183,-3.76694,-1.64612,-0.509596
24;-0.840441,-0.929172,-0.486785,0.791292,0.792209,-0.591741,-0.714247,0.89346,0.916001,0.886668,-0.664221,0.609828;-1.67556,-4.34927,-1.70426,-0.767671
25;-0.840441,-0.819378,-0.486785,0.699823,0.832253,-0.675058,-0.714247,0.934711,0.913923,0.90523,-0.774832,0.609828;-1.68402,-4.28794,-1.53189,-0.492345
26;-0.840441,-0.85898,-0.486785,0.699823,0.823685,-0.713941,-0.714247,0.95034,0.914976,0.914881,-0.766667,0.609828;-1.64953,-4.31401,-1.59783,-0.45872
27;-0.840441,-0.863865,-0.486785,0.699823,0.823685,-0.710887,-0.714247,0.949323,0.915519,0.919057,-0.779447,0.609828;-1.69995,-4.3145,-1.56564,-0.450336
28;-0.840441,-0.865929,-0.486785,0.699823,0.823685,-0.710684,-0.714247,0.950906,0.915752,0.918737,-0.78272,0.609828;-1.71541,-4.31497,-1.55545,-0.449445
29;-0.840441,-0.865772,-0.486785,0.699823,0.823685,-0.711,-0.714247,0.951304,0.915735,0.918715,-0.782883,0.609828;-1.71521,-4.31544,-1.55519,-0.448856
30;-0.840441,-0.865761,-0.486785,0.699823,0.823685,-0.71108,-0.714247,0.951323,0.915733,0.918748,-0.782844,0.609828;-1.7149,-4.31553,-1.55542,-0.448757
31;-0.870558,-0.731397,-0.221814,0.298543,0.846298,-0.362802,-0.837636,0.982792,0.854848,0.931555,-0.676029,0.561192;-1.59159,-3.4283,-1.00436,0.523019
32;-0.912172,-0.93702,-0.280617,-0.313561,0.892254,0.0911121,-0.938373,0.983762,0.914335,0.914977,-0.686006,0.389637;-2.27181,-2.28454,0.157328,0.9341
33;-0.951569,-0.958917,-0.66245,-0.322728,0.775152,-0.439524,-0.972304,0.984967,0.969078,0.844144,-0.642088,0.721677;-0.554056,-2.4017,-0.742274,0.140082
34;-0.951569,-0.947128,-0.66245,0.232355,0.774059,-0.292236,-0.972304,0.983203,0.967548,0.92069,0.0106392,0.721677;1.1041,-3.55726,-2.54209,-0.83781
35;-0.870558,-0.89307,-0.221814,0.515933,0.801817,-0.309944,-0.837636,0.877119,0.855029,0.882587,-0.50003,0.561192;-1.61222,-3.60236,-1.47471,-0.0898273
36;-0.927918,-0.573865,-0.625736,-0.184626,0.749047,-0.671575,-0.924882,0.966716,0.945833,0.881797,-0.836328,0.812497;-0.101476,-2.74035,-0.779175,0.49609
37;-0.927918,-0.886011,-0.625736,0.394951,0.642284,-0.648511,-0.924882,0.985728,0.945804,0.925755,-0.339423,0.812497;0.665212,-3.81328,-2.22072,-0.458699
38;-0.840441,-0.929769,-0.486785,0.791292,0.792209,-0.563678,-0.714247,0.856722,0.916126,0.911913,-0.678416,0.609828;-1.72924,-4.33156,-1.6793,-0.757169
39;-0.840441,-0.835008,-0.486785,0.699823,0.832253,-0.666891,-0.714247,0.936956,0.915352,0.901751,-0.789621,0.609828;-1.77966,-4.27936,-1.47666,-0.502993
