Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.23882,0.342508,0.450233,-0.223699,0.0178134,-0.326613,-0.386882,0.321699,-0.241578,0.290651;-2.43166,2.10121,1.69417,1.7245
1;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
2;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
3;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
4;0.442912,1,0.677819,-0.0336164,0.0464237,0.224409,-1,1,1,0.260005;-0.0200533,1.04657,-0.0600855,3.28698
5;0.442912,1,0.677819,-0.0336164,0.0464237,0.224409,-1,1,1,0.260005;-0.0200533,1.04657,-0.0600855,3.28698
6;0.574653,1,0.605901,0.0793318,-0.097861,-0.297613,-1,1,1,0.610173;-1.83074,1.3401,-0.153979,3.49524
7;0.676476,1,0.702576,0.50863,0.347257,-0.702863,1,-1,1,0.566308;1.49237,-0.0900215,1.41246,9.51894
8;0.79376,1,0.627038,0.0859629,0.507059,-0.472146,1,1,-1,0.1244;-0.207116,5.91262,3.24371,-0.514781
9;0.944726,1,0.22733,0.431099,-0.318185,-0.518051,1,1,-1,0.852009;0.395247,6.59932,0.629978,-1.52122
10;0.880909,1,-0.271659,-0.210843,-0.674397,-0.518994,1,-1,-1,0.877255;1.66259,2.65699,1.21453,3.03976
11;0.880909,-1,-0.271659,-0.210843,-0.674397,-0.518994,-1,-1,-1,0.877255;-5.39198,1.27097,-0.441979,1.13124
12;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,-1,-1,1,0.893227;-3.67727,-1.23234,-1.94324,4.69447
13;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,1,0.893227;-0.332397,1.34461,-0.877089,3.14855
14;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,-1,0.893227;-1.21907,3.7076,0.107189,0.248724
15;0.23882,-1,0.450233,-0.223699,0.0178134,-0.326613,1,-1,-1,0.290651;-1.95044,2.96436,2.59253,1.4487
16;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,-1,0.290651;-3.08086,3.16001,1.84122,0.0714267
17;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
18;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
19;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
20;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
21;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
22;0.442912,1,0.677819,-0.0336164,0.0464237,0.224409,-1,1,1,0.260005;-0.0200533,1.04657,-0.0600855,3.28698
23;0.574653,1,0.605901,0.0793318,-0.097861,-0.297613,-1,1,1,0.610173;-1.83074,1.3401,-0.153979,3.49524
24;0.574653,1,0.605901,0.0793318,-0.097861,-0.297613,1,-1,1,0.610173;3.00937,-0.0464877,1.18768,8.32696
25;0.79376,1,0.627038,0.0859629,0.507059,-0.472146,1,-1,-1,0.1244;1.28813,1.94908,3.51922,5.86286
26;0.79376,1,0.627038,0.0859629,0.507059,-0.472146,1,1,-1,0.1244;-0.207116,5.91262,3.24371,-0.514781
27;0.944726,1,0.22733,0.431099,-0.318185,-0.518051,1,1,-1,0.852009;0.395247,6.59932,0.629978,-1.52122
28;0.880909,1,-0.271659,-0.210843,-0.674397,-0.518994,1,-1,-1,0.877255;1.66259,2.65699,1.21453,3.03976
29;0.880909,-1,-0.271659,-0.210843,-0.674397,-0.518994,-1,-1,-1,0.877255;-5.39198,1.27097,-0.441979,1.13124
30;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,-1,-1,1,0.893227;-3.67727,-1.23234,-1.94324,4.69447
31;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,1,0.893227;-0.332397,1.34461,-0.877089,3.14855
32;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,-1,0.893227;-1.21907,3.7076,0.107189,0.248724
33;0.23882,-1,0.450233,-0.223699,0.0178134,-0.326613,1,-1,-1,0.290651;-1.95044,2.96436,2.59253,1.4487
34;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,-1,0.290651;-3.08086,3.16001,1.84122,0.0714267
35;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
36;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
37;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
38;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
39;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
40;0.442912,1,0.677819,-0.0336164,0.0464237,0.224409,-1,1,1,0.260005;-0.0200533,1.04657,-0.0600855,3.28698
41;0.442912,1,0.677819,-0.0336164,0.0464237,0.224409,-1,1,1,0.260005;-0.0200533,1.04657,-0.0600855,3.28698
42;0.574653,1,0.605901,0.0793318,-0.097861,-0.297613,-1,1,1,0.610173;-1.83074,1.3401,-0.153979,3.49524
43;0.676476,1,0.702576,0.50863,0.347257,-0.702863,1,-1,1,0.566308;1.49237,-0.0900215,1.41246,9.51894
44;0.79376,1,0.627038,0.0859629,0.507059,-0.472146,1,1,-1,0.1244;-0.207116,5.91262,3.24371,-0.514781
45;0.944726,1,0.22733,0.431099,-0.318185,-0.518051,1,1,-1,0.852009;0.395247,6.59932,0.629978,-1.52122
46;0.880909,1,-0.271659,-0.210843,-0.674397,-0.518994,1,-1,-1,0.877255;1.66259,2.65699,1.21453,3.03976
47;0.880909,-1,-0.271659,-0.210843,-0.674397,-0.518994,-1,-1,-1,0.877255;-5.39198,1.27097,-0.441979,1.13124
48;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,-1,-1,1,0.893227;-3.67727,-1.23234,-1.94324,4.69447
49;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,1,0.893227;-0.332397,1.34461,-0.877089,3.14855
50;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,1,-1,-1,0.893227;-1.21907,3.7076,0.107189,0.248724
51;0.23882,-1,0.450233,-0.223699,0.0178134,-0.326613,1,-1,-1,0.290651;-1.95044,2.96436,2.59253,1.4487
52;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,-1,0.290651;-3.08086,3.16001,1.84122,0.0714267
53;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
54;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
55;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
56;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
57;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
58;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
59;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
60;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
61;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
62;0.23882,1,0.450233,-0.223699,0.0178134,-0.326613,-1,1,1,0.290651;-2.19419,0.797021,0.856944,2.97125
63;0.503031,1,0.412066,0.000708944,-0.486841,0.180235,-1,1,1,0.705125;0.141353,1.47351,-1.36052,2.48582
64;0.503031,1,0.412066,0.000708944,-0.486841,0.180235,0.603879,-1,1,0.705125;4.31898,-0.42347,-0.230017,7.62373
65;0.624257,1,0.305386,0.113348,-0.589268,-0.339005,0.46222,-1,-1,0.866909;1.54797,1.77064,0.928518,4.84022
66;0.807877,1,-0.141842,0.254904,-0.767907,-0.732948,1,-1,-1,0.954559;1.44528,2.44137,0.843965,3.59841
67;0.880909,-1,-0.271659,-0.210843,-0.674397,-0.518994,1,-1,-1,0.877255;-2.04711,3.84793,0.624177,-0.414682
68;0.736274,-1,-0.0201531,0.146462,-0.701666,-0.379843,-1,-1,-1,0.893227;-4.56394,1.13065,-0.958966,1.79464
69;0.807877,-1,-0.141842,0.254904,-0.767907,-0.732948,1,-1,1,0.954559;-1.37774,1.26932,-0.730664,3.04379
