Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.275865,0.358422,0.244947,0.109595,0.533861,-0.0290368,-0.0336244,0.127935,0.50606,-0.345208,0.329363,-0.230865,0.186278,-0.314922,0.0443099,0.529958,0.298479,0.322649,0.0460387,-0.444603,0.428853,-0.249796,-0.251133,0.0177892,0.0506307;-4.78765,1.61787,-3.40234,1.67163
1;-0.491579,0.368603,0.0298137,-0.329732,0.365655,0.829899,-0.521236,-0.545614,0.0669611,-0.542796,0.468965,0.588001,0.163679,-0.479625,0.251792,0.626425,0.25466,0.322649,-0.0195901,-0.602829,0.561148,0.573045,-0.689639,-0.103206,0.0276029;-10.5261,-2.84548,-5.41626,4.0131
2;-0.908843,0.297719,-0.0102751,-0.841611,0.0917811,0.915847,-0.423529,-0.754186,0.370438,-0.934647,0.74105,0.108687,-0.171215,-0.676787,0.352868,0.761304,0.231306,0.322649,0.238921,0.562307,0.541694,0.473469,-0.773696,0.287842,0.451369;-9.43453,-6.31085,-8.69099,1.05298
3;-0.884162,0.511597,0.111298,-0.938648,-0.363277,0.981359,-0.144317,-0.863197,0.675028,-0.933109,0.632441,0.0641366,-0.104787,-0.703255,0.463735,0.802792,0.202997,0.322649,0.50076,0.116612,0.783903,0.307631,-0.762717,0.242879,-0.0183991;-9.79102,-4.21224,-8.14428,0.510764
4;-0.8855,0.489377,0.270875,-0.963134,-0.344645,0.977137,-0.369862,-0.904032,0.621017,-0.873397,0.576924,-0.403036,0.088187,-0.587033,0.477668,0.861452,0.19917,0.322649,0.543042,0.275284,0.733506,-0.336801,-0.870772,0.165715,-0.161088;-5.97901,-2.13554,-6.94039,2.02347
5;-0.841005,0.449724,0.257444,-0.951115,-0.199562,0.974867,-0.36877,-0.898668,0.643236,-0.93978,0.534814,-0.467074,-0.0678596,-0.528075,0.414769,0.901529,0.215929,0.322649,0.553304,-0.0483706,0.667497,-0.344914,-0.852943,-0.144822,-0.307826;-5.1307,-0.647832,-7.03862,0.793523
6;-0.562878,-0.0004016,0.589598,-0.953319,-0.187521,0.9186,-0.0619856,-0.962581,0.850353,-0.92809,0.791499,-0.290724,0.101518,0.027631,0.712105,0.911192,0.244193,0.235307,0.632434,0.564179,0.902233,0.0525866,-0.937592,-0.398006,-0.112951;-8.61394,1.50322,-7.68951,-2.67239
7;-0.884879,-0.209261,0.637175,-0.893514,0.863404,0.99411,-0.255223,-0.92014,0.664916,-0.730167,0.504626,-0.685473,0.239599,-0.691235,0.119999,0.900538,-0.240932,0.251683,0.457474,0.559239,0.208417,-0.487623,-0.769613,0.287017,-0.435493;-0.290054,-0.551295,-2.52566,1.10314
8;-0.623902,0.23487,0.426701,-0.975117,0.275738,0.987375,0.326193,-0.818461,0.809585,-0.738052,0.281869,-0.0898518,0.109922,-0.64676,0.541841,0.903514,-0.340004,0.251683,0.428681,-0.733167,0.259662,0.593455,-0.0637216,0.0328333,-0.366142;-7.16576,-1.53884,-6.00914,-0.357647
9;-0.23174,-0.205297,0.789168,-0.980174,0.415553,0.925561,0.132293,-0.943073,0.871714,0.562514,0.688123,-0.447533,0.593185,-0.129477,0.788191,0.858925,-0.315312,0.160995,0.562653,0.681004,0.393742,0.015473,-0.58904,0.279013,-0.0460184;-3.09754,-1.71362,-3.01074,1.51678
10;0.038632,-0.0822222,0.835439,-0.833846,0.459512,0.633706,-0.417105,-0.707438,0.944933,0.202025,0.752057,-0.913772,0.226104,0.284423,0.059481,0.90396,-0.15241,-0.190623,0.60175,0.0199608,-0.515003,0.034873,-0.39639,-0.242239,0.901806;-0.0481983,-2.43299,-6.51073,1.22912
