Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
10;0.0149069,0.234102,0.503235,-0.0583914,0.429995,-0.71235,0.425788,-0.264918,0.0725354,-0.447889,0.538078,0.488441,-0.396907,0.220182,-0.162385,0.282182,-0.779773,-0.876197,0.227934,-0.654915,-0.748999,-0.600255,0.936291,0.400679,0.301752,-0.473601,0.173228,-0.0464786,0.424275,-0.648827,0.555465,0.659363,0.723231,-0.278606,-0.757995,0.00682249,-0.638718,0.272346,0.28926,-0.952933,0.165336,-0.384187,-0.579258,0.595058,-0.091228,0.912545,-0.855293,-0.00348276,-0.187353,-0.404932;-2.70565,-7.89127,-7.71288,1.82266
11;-0.197955,0.260497,0.124215,-0.573734,0.104273,-0.605352,0.184507,-0.308939,-0.00656886,-0.319335,0.153464,0.549935,-0.600999,0.188427,-0.294584,0.280174,-0.774243,-0.71282,0.132762,-0.388011,-0.484736,-0.717424,0.924469,0.248471,-0.0776736,-0.433784,0.248818,0.044469,0.447712,-0.823679,0.557583,0.555071,0.728533,-0.0818147,-0.71905,0.383887,-0.594188,0.241322,0.461039,-0.921918,0.648976,-0.66368,-0.553051,0.577405,0.157074,0.791735,-0.74715,0.360048,-0.22712,-0.120032;-1.71135,-6.35554,-4.32454,1.73643
12;-0.0543601,-0.115073,0.38954,-0.365371,-0.0449477,-0.712095,0.618551,-0.597913,-0.0466138,0.108209,-0.204375,0.427234,-0.503009,0.292964,-0.254276,-0.0397165,-0.194293,-0.624995,0.39166,-0.050235,-0.307138,-0.862843,0.786233,-0.357482,-0.361947,-0.737836,0.363243,0.125675,0.778084,-0.703399,0.470572,0.47579,0.769712,-0.187052,-0.892001,0.114853,-0.724705,0.656305,0.670551,-0.924669,0.658021,-0.427115,-0.79746,0.354941,0.222481,0.863356,-0.567155,0.737906,-0.478263,-0.393578;3.86934,-5.12819,-4.68702,-0.113075
13;-0.247785,0.375476,0.748923,-0.261704,0.641489,-0.91725,0.652322,0.272686,0.406241,-0.568065,0.558728,-0.0520715,-0.674543,-0.624644,-0.513409,0.0370168,-0.731641,-0.811993,0.351065,0.280327,-0.065579,-0.556526,0.857783,0.0632771,-0.473201,0.158245,0.596494,-0.18479,-0.096607,-0.487814,0.420098,-0.159323,0.612876,-0.42095,-0.377526,-0.119766,0.328429,-0.308838,0.189996,-0.95853,-0.0753283,0.104996,-0.110354,0.680407,-0.333646,0.739698,-0.74849,0.854,-0.341838,-0.181845;-5.12551,-2.92439,-7.31838,5.11845
14;0.25618,0.137851,0.363385,-0.461794,-0.259411,-0.902051,0.82819,-0.266764,0.279162,-0.102321,-0.347442,-0.462468,-0.197725,-0.514398,0.00823889,-0.880677,-0.28897,-0.731394,0.0841706,0.499981,0.129301,-0.191213,0.911294,0.252461,-0.78601,-0.729427,0.412373,-0.0881286,0.495589,-0.405965,0.244532,0.440494,-0.207827,0.113876,-0.942321,-0.497861,-0.375191,0.143348,0.517312,-0.785706,0.738697,-0.455264,-0.684271,0.261085,-0.31846,0.512605,-0.443117,0.564059,-0.0941584,-0.29498;0.590353,-6.13968,-5.8313,3.78075
15;0.616366,0.478499,0.472601,-0.185397,-0.236929,-0.667048,0.712361,-0.659204,0.0214815,0.219105,0.05164,-0.569125,-0.209428,0.29847,-0.0498046,-0.467578,-0.0621817,-0.952031,0.373236,0.118954,-0.161282,-0.389629,0.809571,0.196772,-0.331532,-0.829729,-0.0874498,-0.11979,0.902391,-0.389314,0.457068,0.631892,0.595075,-0.291525,-0.896158,-0.0330415,-0.821918,0.671084,0.618018,-0.884283,0.441378,-0.580063,-0.907908,-0.179103,0.315449,0.946888,-0.764035,0.372244,-0.468347,0.354386;0.518612,-2.65902,-4.78196,3.67022
16;0.243936,-0.476604,0.86541,-0.179168,0.174831,-0.697626,0.846821,-0.3223,0.3441,0.41666,-0.348609,0.371916,0.0586052,-0.0375949,-0.243684,-0.0121384,-0.18546,-0.875872,0.063947,-0.258731,-0.649246,-0.599189,0.756089,0.40149,-0.191785,-0.775941,-0.450375,-0.138128,0.925182,-0.619785,0.61128,0.496167,0.689462,-0.612707,-0.737528,0.348269,-0.404366,0.797314,0.163877,-0.897955,0.53862,-0.626382,-0.685863,-0.442094,0.26017,0.938476,-0.474523,0.633148,-0.525157,-0.657915;-0.67487,-4.65867,-9.98705,1.96411
17;0.264914,-0.515888,0.854616,-0.257264,0.226362,-0.798793,0.840391,-0.338338,0.400908,0.232921,-0.19807,0.406001,0.286729,0.143549,0.195904,-0.107752,-0.215126,-0.571046,-0.121018,-0.636448,-0.879932,-0.704126,0.789554,0.466468,-0.323745,-0.834783,-0.251364,-0.0421982,0.922194,-0.37936,0.598356,0.603219,0.746271,-0.603022,-0.890746,-0.317817,-0.602407,0.795557,0.138289,-0.93163,0.430936,-0.619484,-0.622585,0.0482475,0.267653,0.938574,-0.407345,0.26755,-0.410133,-0.790639;1.18799,-5.98887,-9.81994,-0.655007
18;-0.00195116,0.270201,0.630389,-0.0616286,0.433143,-0.697763,0.376215,-0.247795,0.0848674,-0.445501,0.540569,0.480761,-0.391052,0.279696,-0.112962,0.245039,-0.778169,-0.869715,0.211317,-0.678839,-0.784648,-0.545281,0.928856,0.347893,0.2135,-0.550425,0.13955,-0.0383542,0.451699,-0.605401,0.551746,0.698182,0.687088,-0.255556,-0.718226,0.0539391,-0.676077,0.271472,0.270374,-0.95787,0.257563,-0.472719,-0.609216,0.616324,-0.0645596,0.892037,-0.862204,-0.0234093,-0.222154,-0.396267;-2.31643,-7.73667,-8.30325,1.87137
19;-0.227071,0.278425,0.166586,-0.551479,0.121929,-0.5875,0.181917,-0.306704,-0.00321132,-0.317416,0.217587,0.575872,-0.59833,0.148278,-0.213375,0.208166,-0.767588,-0.72105,0.12467,-0.403321,-0.542615,-0.718018,0.926756,0.159618,-0.047779,-0.415589,0.20704,0.0365881,0.459496,-0.809665,0.561586,0.570086,0.752646,-0.150234,-0.670829,0.425363,-0.629076,0.247776,0.459906,-0.926181,0.625057,-0.645114,-0.569077,0.551448,0.184456,0.789336,-0.769548,0.318596,-0.155945,-0.116291;-1.84062,-5.8933,-4.49512,1.68145
20;-0.247586,0.222596,0.306213,-0.625577,0.153155,-0.697155,0.190036,-0.239368,0.0263649,-0.351328,0.104067,0.47417,-0.620602,0.0968739,-0.605574,0.35341,-0.530754,-0.729929,0.159345,-0.207974,-0.257279,-0.895985,0.835873,-0.0915763,-0.234848,-0.392505,0.369109,0.0287599,0.439392,-0.743757,0.548276,0.300661,0.844434,-0.142127,-0.670416,0.570743,-0.318169,0.236434,0.429581,-0.938136,0.502853,-0.408239,-0.646482,0.646904,0.248317,0.776563,-0.826527,0.655877,-0.365429,-0.225895;-0.394232,-4.38058,-4.99663,2.46359
21;-0.267883,0.196697,0.207599,-0.77871,0.139352,-0.722321,0.266913,-0.244237,0.00832286,-0.36739,0.0722057,0.425242,-0.603968,-0.154433,-0.57889,0.151293,-0.483134,-0.707681,0.143146,0.0352701,-0.30119,-0.928817,0.816353,0.0812534,-0.139075,-0.282041,0.385758,0.0595655,0.401618,-0.636479,0.519354,0.2133,0.815821,-0.311254,-0.850159,0.470456,-0.0399749,0.234486,0.344456,-0.937409,0.416675,-0.265441,-0.640175,0.760661,0.288361,0.840041,-0.858129,0.712447,-0.205649,-0.37312;-0.893693,-3.79736,-5.08478,2.46906
22;-0.161356,0.224497,0.181565,-0.760434,0.111227,-0.694557,0.28421,-0.216887,0.00941289,-0.310393,0.00877503,0.159389,-0.589213,-0.0737931,-0.665964,0.286296,-0.430791,-0.79459,0.150853,-0.0306748,-0.167171,-0.912502,0.821569,0.212201,-0.217685,-0.386985,0.337435,0.0166794,0.411733,-0.663282,0.509709,0.323046,0.765255,-0.202457,-0.884226,0.328955,0.121007,0.225136,0.312752,-0.923227,0.465347,-0.232349,-0.65054,0.715397,0.26119,0.84086,-0.842294,0.7212,-0.194387,-0.423106;-1.00412,-4.26508,-5.40016,3.04003
23;0.0668959,-0.117,0.28946,-0.502351,-0.0869887,-0.70504,0.686853,-0.576314,-0.0900343,0.204276,-0.240522,0.165472,-0.454323,0.137664,-0.30391,-0.205023,-0.093156,-0.742405,0.367589,0.160474,-0.264175,-0.883145,0.749908,-0.018178,-0.34782,-0.716168,0.33248,0.126956,0.769788,-0.605913,0.443005,0.515469,0.650732,-0.286896,-0.962908,-0.160285,-0.476787,0.653918,0.614492,-0.914098,0.576849,-0.230637,-0.829319,0.466322,0.194839,0.917839,-0.617802,0.76734,-0.343499,-0.560458;3.23681,-5.35609,-4.92871,-0.349961
24;-0.169785,0.434946,0.721652,-0.193221,0.62999,-0.906744,0.671858,0.280885,0.399427,-0.557147,0.563408,-0.282069,-0.669047,-0.536976,-0.590215,0.106929,-0.702041,-0.888733,0.348008,0.232536,0.0625709,-0.485279,0.840947,0.237399,-0.498374,0.0577536,0.560629,-0.21849,-0.0415007,-0.49956,0.424993,0.0599761,0.475085,-0.24511,-0.491162,-0.239162,0.462406,-0.310589,0.193899,-0.951893,-0.144137,0.139684,-0.156469,0.616751,-0.379972,0.785978,-0.744061,0.85888,-0.318227,-0.13014;-5.03849,-4.20515,-7.8721,5.98003
25;0.0579453,0.521344,0.136369,-0.703626,-0.0650923,-0.890709,0.576665,0.147869,0.34272,-0.615846,0.0665243,-0.397221,-0.361693,-0.548745,-0.451439,-0.76785,-0.638429,-0.824303,-0.165765,0.449133,0.166652,-0.343515,0.910955,0.499241,-0.720983,-0.455599,0.410477,-0.154524,0.0478403,-0.489591,0.367364,0.382277,-0.0694519,0.273984,-0.834692,0.0293599,0.0673496,-0.371665,0.285397,-0.839897,0.457228,-0.477262,-0.483015,0.622109,-0.304477,0.372175,-0.778085,0.416469,0.00591336,0.0212939;-3.47313,-5.19233,-5.65011,6.33306
