Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
10;0.832092,-0.787956,-0.426943,-0.948313,0.528489,0.151719,-0.0161049,-0.799001,0.470488,0.621867,-0.949975,-0.755334,0.427477,-0.336554,-0.885623,0.870262,0.808504,-0.870788,0.612909,0.945148,-0.744453,0.758909,-0.27372,-0.588876,-0.187697,-0.454326,-0.989505,-0.0456309,-0.394503,0.700804,0.165544,-0.153241,-0.908042,0.935228,0.46715,0.191461,0.141893,0.525416,0.22806,-0.797768,0.739848,-0.825783,0.253047,0.884838,-0.163738,-0.296923,-0.208254,0.869287,-0.390762,-0.518224;28.8147,-6.86826,-29.3467,27.4003
11;0.711789,-0.469231,-0.615627,-0.938344,0.381047,-0.151861,0.578474,-0.309892,0.125858,0.64713,-0.674799,-0.859743,0.0429038,-0.0965608,-0.706044,0.556412,0.0193708,-0.323636,0.922263,0.968646,-0.0582986,0.384319,-0.293515,-0.630425,0.294732,-0.681984,-0.925057,0.203972,-0.706007,0.82221,-0.719946,-0.181014,-0.542173,0.812374,-0.199572,-0.331225,0.353374,0.775868,0.819824,-0.535081,0.835602,-0.822602,0.451187,0.973075,0.272533,0.124012,-0.110973,0.451206,-0.781773,-0.411812;17.0348,-5.54346,-25.4984,22.578
12;0.646926,-0.389566,-0.578157,-0.923109,0.753251,-0.222129,0.566008,-0.548041,-0.180324,0.531639,-0.723884,-0.83887,0.002654,0.289736,-0.505317,0.712928,0.339681,-0.71798,0.808339,0.895779,-0.502629,0.380355,0.100105,-0.716476,0.579919,-0.610037,-0.946084,-0.0679005,-0.662662,0.838682,-0.618109,-0.280932,-0.788346,0.825037,-0.253967,-0.341845,0.292621,0.826943,0.704625,-0.216158,0.866046,-0.843789,0.271121,0.830632,0.453423,0.193792,-0.139813,0.599211,-0.586127,-0.550912;11.3513,-10.5437,-28.1739,33.2211
13;0.600484,-0.288023,-0.599815,-0.933117,0.70403,-0.0674701,0.476145,-0.660192,-0.317754,0.528691,-0.729587,-0.688476,0.164696,0.343967,-0.599139,0.556815,0.198167,-0.591196,0.879767,0.924354,-0.462842,0.418504,0.263869,-0.79222,0.540239,-0.635842,-0.942221,-0.00200979,-0.637317,0.799012,-0.56773,-0.326681,-0.740446,0.815704,-0.388098,-0.536086,0.290001,0.778432,0.800251,-0.230303,0.879788,-0.863059,0.31777,0.904486,0.432809,0.161998,0.0940591,0.421779,-0.511609,-0.407095;10.9475,-13.0941,-30.8946,32.222
14;0.623884,-0.287101,-0.614336,-0.935265,0.728981,-0.0114569,0.42604,-0.696728,-0.268333,0.461045,-0.720183,-0.696038,0.210867,0.386404,-0.622304,0.594586,0.328242,-0.658032,0.86033,0.915692,-0.438155,0.421068,0.274023,-0.803529,0.658682,-0.582452,-0.94582,-0.00582719,-0.677066,0.760209,-0.476845,-0.309949,-0.7145,0.850568,-0.374973,-0.513363,0.266095,0.802326,0.753636,-0.164116,0.905469,-0.857532,0.264525,0.858729,0.409586,0.155001,0.0659365,0.45352,-0.373979,-0.441091;10.5117,-13.4621,-31.6861,32.5589
15;0.498799,-0.238994,-0.554229,-0.945926,0.621611,0.267157,0.250247,-0.560576,0.256265,0.618518,-0.895117,-0.688121,0.627196,0.355859,-0.775469,0.693016,0.573036,-0.820532,0.778434,0.963741,-0.390652,0.738815,0.334839,-0.672099,0.307047,-0.766579,-0.982617,-0.071411,-0.607277,0.692462,-0.157627,-0.355004,-0.777524,0.899827,-0.281236,-0.149329,0.453779,0.802135,0.440299,-0.634885,0.854856,-0.602126,-0.0994925,0.828223,0.215377,-0.345835,0.0472083,0.702827,-0.546426,-0.499564;19.9358,-10.0242,-32.4216,31.5019
16;0.244462,-0.566882,-0.732187,-0.943148,0.0296234,0.504141,-0.127034,-0.442435,0.147742,0.579876,-0.846593,-0.89043,0.732676,-0.336377,-0.8979,0.280156,0.580328,-0.761291,0.81571,0.9542,0.0963223,0.644005,0.546025,-0.827282,-0.281047,-0.783133,-0.984136,0.315337,-0.862874,0.593255,-0.132647,-0.537891,-0.867403,0.955336,0.37757,0.154397,0.519413,0.879314,0.523943,-0.791995,0.929221,-0.405647,-0.407168,0.921653,-0.0237644,0.00154759,0.214874,0.567708,-0.843373,-0.260513;22.0859,-7.83481,-30.8572,13.9245
17;0.670577,-0.440564,-0.0915575,-0.900172,0.7964,0.561512,0.396655,-0.181068,0.195,0.54684,-0.930063,-0.740116,0.630221,-0.509873,-0.493027,0.910813,0.848294,-0.675994,0.576079,0.933792,-0.0356549,0.929877,0.200498,-0.368316,0.50837,-0.435017,-0.96789,0.211484,-0.689986,0.788462,-0.23139,0.0740965,-0.243911,0.948112,0.193573,0.443729,0.454379,0.683377,0.196494,-0.876367,0.539483,-0.597023,-0.287083,0.618605,-0.129972,0.256666,0.353834,0.350498,-0.624002,-0.247818;19.8994,4.33196,-23.1198,30.8543
18;0.681671,-0.457703,-0.473955,-0.962052,0.654705,0.0564857,0.475599,-0.340983,0.831611,0.790186,-0.888951,-0.871176,0.349993,-0.133128,-0.678206,0.769833,0.395289,-0.742222,0.791212,0.959379,-0.296058,0.559865,-0.20143,-0.435406,0.0100147,-0.821731,-0.978806,-0.111232,-0.723662,0.765221,-0.326127,-0.44208,-0.624112,0.932182,-0.367885,-0.072524,0.491767,0.668367,0.260221,-0.828072,0.756773,-0.756002,0.006251,0.879974,-0.0239309,-0.347418,0.118372,0.720879,-0.832118,-0.733117;28.1967,-2.81984,-27.2005,33.8782
19;0.825141,-0.786795,-0.417659,-0.946861,0.571223,0.0848226,-0.00293512,-0.814387,0.452957,0.605504,-0.950917,-0.727962,0.410569,-0.346085,-0.880721,0.856873,0.759406,-0.890136,0.626167,0.943486,-0.726908,0.756343,-0.357955,-0.643271,-0.279742,-0.476091,-0.988626,-0.122825,-0.37491,0.677993,0.168072,-0.235441,-0.916698,0.927454,0.364312,0.0677722,0.126193,0.514197,0.283172,-0.792241,0.808091,-0.849886,0.187335,0.870845,-0.144576,-0.280702,-0.260939,0.864954,-0.297929,-0.477716;28.0278,-7.6332,-29.0297,28.0419
20;0.841502,-0.785633,-0.450826,-0.967847,0.39612,-0.110862,0.0241597,-0.584356,0.577318,0.627207,-0.944226,-0.746444,0.510815,-0.549227,-0.926575,0.844393,0.600747,-0.824235,0.701765,0.957377,-0.558259,0.714167,-0.593462,-0.62626,-0.232533,-0.627995,-0.981511,0.0346114,-0.324496,0.449353,0.0531201,-0.127741,-0.890837,0.847843,0.42705,0.138395,0.157993,0.50116,0.366833,-0.841728,0.715606,-0.74565,0.413766,0.937068,-0.198875,-0.408395,-0.180352,0.86943,-0.535949,-0.249891;30.0029,-6.79999,-25.0739,21.2685
21;0.703486,-0.481005,-0.605314,-0.924067,0.379975,-0.275719,0.60765,-0.288839,0.146698,0.637039,-0.669896,-0.90568,-0.0678873,-0.11115,-0.647584,0.525927,0.0433551,-0.542406,0.913408,0.963121,-0.124198,0.470817,-0.377652,-0.603242,0.186986,-0.630397,-0.926012,0.0384498,-0.666215,0.85264,-0.723236,-0.211955,-0.670743,0.784528,-0.218201,-0.258204,0.35065,0.799896,0.818658,-0.504005,0.856926,-0.828351,0.330425,0.959941,0.366937,0.137895,-0.221328,0.470905,-0.789848,-0.518028;14.8629,-4.79522,-24.4062,23.6456
22;0.655231,-0.38244,-0.571396,-0.924986,0.73313,-0.24332,0.553248,-0.555013,-0.261954,0.546054,-0.727026,-0.838227,-0.0113927,0.241433,-0.495343,0.613883,0.285445,-0.670135,0.849024,0.912997,-0.504453,0.398255,0.105448,-0.711563,0.508481,-0.638113,-0.951196,-0.0319678,-0.62627,0.854068,-0.606676,-0.256598,-0.798298,0.792019,-0.214262,-0.358942,0.297052,0.822363,0.734903,-0.243478,0.828535,-0.825577,0.305928,0.839067,0.46813,0.173873,-0.183792,0.518728,-0.569532,-0.508207;11.1708,-11.0012,-27.7175,32.2533
23;0.612262,-0.298133,-0.602817,-0.936369,0.697569,-0.0613408,0.463896,-0.64229,-0.314359,0.521574,-0.728696,-0.710148,0.15599,0.330684,-0.600786,0.567735,0.165623,-0.602249,0.87039,0.916642,-0.457615,0.436915,0.23626,-0.797632,0.554949,-0.628079,-0.9415,-0.0307657,-0.635381,0.787616,-0.549171,-0.321411,-0.748798,0.827328,-0.369277,-0.530433,0.272971,0.786375,0.783301,-0.225803,0.879704,-0.840576,0.329634,0.890217,0.446506,0.170135,0.106298,0.441531,-0.502448,-0.379009;10.3927,-12.9446,-30.4221,32.0084
24;0.62822,-0.285308,-0.611764,-0.936461,0.723155,-0.0357775,0.431,-0.689324,-0.254798,0.461058,-0.721463,-0.701721,0.209971,0.362605,-0.617833,0.58908,0.334189,-0.660752,0.862699,0.915287,-0.428446,0.418833,0.259135,-0.801803,0.653931,-0.580484,-0.945026,-0.0306791,-0.677614,0.758517,-0.488393,-0.323367,-0.708378,0.842045,-0.377102,-0.512901,0.265528,0.798716,0.762372,-0.169731,0.900836,-0.859745,0.256163,0.860165,0.405955,0.155577,0.0472304,0.4511,-0.383493,-0.444732;10.4558,-13.4098,-31.2505,32.7063
25;0.610977,-0.267965,-0.613278,-0.931879,0.7238,-0.00658407,0.465781,-0.695622,-0.283781,0.468927,-0.72493,-0.659285,0.257579,0.38618,-0.630953,0.583706,0.324629,-0.581557,0.875046,0.926341,-0.396101,0.376967,0.265953,-0.802286,0.655379,-0.57315,-0.944984,0.00943441,-0.678247,0.727787,-0.474278,-0.333472,-0.674475,0.821394,-0.404384,-0.516868,0.267595,0.791309,0.758721,-0.187655,0.903288,-0.85312,0.289069,0.868952,0.394988,0.133281,0.099274,0.421787,-0.396708,-0.407402;10.8498,-12.8868,-31.5908,32.4925
26;0.604571,-0.272724,-0.613406,-0.928922,0.722506,0.00103374,0.463816,-0.704857,-0.240233,0.471914,-0.723798,-0.662621,0.262597,0.411498,-0.630727,0.615868,0.346519,-0.614123,0.862147,0.919901,-0.389668,0.361366,0.296197,-0.805827,0.676967,-0.548012,-0.943262,0.00440593,-0.684021,0.724355,-0.468171,-0.336821,-0.66784,0.824839,-0.408282,-0.515417,0.268379,0.794225,0.743033,-0.188674,0.906609,-0.861209,0.280478,0.858016,0.394439,0.146029,0.0991824,0.452919,-0.381915,-0.42143;10.9085,-13.2401,-31.7111,32.8375
27;0.480498,-0.246552,-0.552271,-0.939672,0.622562,0.280383,0.257116,-0.573739,0.284826,0.622846,-0.894552,-0.690884,0.630888,0.393243,-0.777052,0.705766,0.587384,-0.831951,0.767804,0.963444,-0.387217,0.719484,0.362161,-0.668069,0.307378,-0.75992,-0.982324,-0.0709799,-0.606221,0.693678,-0.161244,-0.35677,-0.77833,0.901914,-0.294134,-0.142703,0.455791,0.801266,0.423248,-0.635365,0.857012,-0.626247,-0.0873695,0.821188,0.215639,-0.33326,0.023843,0.712759,-0.530154,-0.5114;20.0903,-10.4317,-32.6683,31.8224
