Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
19;0.262593,-0.881213,0.87025,-0.741803,0.649214,0.98091,0.966807,0.617295,0.753829,0.955836,-0.334286,0.543934,-0.820445,0.184318,-0.10906,0.47554,0.258825,-0.35248,-0.392736,0.815379,0.428032,0.366032,0.758058,-0.764275,-0.926744;10.4047,-11.2673,2.46573,5.91866
20;0.123362,-0.611666,0.625063,0.1428,0.510226,0.884608,0.937038,0.796642,0.729755,0.902351,-0.646573,0.907156,-0.592218,-0.580882,0.150942,0.263459,-0.211915,-0.333041,-0.467533,0.721254,0.232046,0.036104,0.798919,-0.792031,-0.920559;4.87392,-13.0703,-1.67786,7.32179
21;-0.190795,0.0139753,0.849615,-0.382989,0.790473,0.690339,0.947916,0.577109,0.781883,0.334007,-0.541544,0.866569,-0.744311,0.0482861,0.0116231,0.272802,0.455805,-0.35248,-0.441289,0.93509,0.405634,0.38815,0.173219,-0.764275,-0.906658;7.21347,-8.83552,-1.00441,8.4667
22;0.0781771,-0.364444,0.714302,-0.203991,0.776185,0.877478,0.958602,0.403921,0.783815,0.839433,-0.479124,0.837151,-0.71656,0.0691489,-0.0360349,0.458355,-0.0501768,-0.35248,-0.415439,0.945033,0.590635,0.307622,0.256435,-0.764275,-0.913171;7.01198,-11.9994,0.973283,5.94
23;-0.00343443,-0.84566,0.0317943,0.512632,0.0864123,0.709676,0.84345,0.722826,0.704855,0.362198,-0.83801,0.769827,-0.440656,0.0888258,0.390546,-0.00982567,-0.637924,-0.177334,-0.259972,0.575699,0.420523,-0.156445,0.594268,-0.455615,-0.807376;2.82455,-13.4536,-0.781389,3.9979
24;-0.229679,0.058883,0.513673,-0.116597,0.546022,-0.0103038,0.860117,-0.0435012,0.772872,-0.623268,-0.723705,0.742679,-0.522227,0.369378,0.220497,0.356013,0.471768,-0.198583,-0.240275,0.975853,0.920575,0.754274,-0.244688,-0.398042,-0.670005;3.86003,-9.51964,0.326508,8.59655
25;0.0908097,-0.500304,0.402663,0.609273,0.517149,0.652738,0.875658,-0.490488,0.774658,0.377289,-0.674994,0.677856,-0.467006,0.513734,-0.159324,0.748586,-0.700686,-0.198583,-0.161722,0.96224,0.876986,0.552126,0.118131,-0.398042,-0.655614;2.08715,-14.6672,4.40991,2.35114
26;-0.376395,-0.848767,-0.533138,0.500328,-0.146793,0.226705,0.656509,0.387195,0.433496,-0.445707,-0.632234,0.0413459,-0.44598,0.68053,0.0386994,0.396902,-0.93875,0.101949,0.528657,-0.32778,0.283485,-0.0480423,-0.330608,-0.261815,-0.583966;3.70183,-1.01345,1.88008,-2.01719
27;-0.454119,0.568088,0.730775,-0.527161,0.349167,0.103355,0.824368,0.00168133,0.570443,-0.102458,-0.26428,0.630328,-0.435094,-0.779561,-0.339092,0.358319,0.787946,-0.0646213,0.280493,0.922342,0.797362,0.860046,-0.597908,-0.692712,-0.420799;3.6208,1.29619,1.80277,12.2325
28;0.0406592,-0.772124,0.84216,-0.328821,0.230683,0.924691,0.821654,0.467263,0.576848,0.823441,-0.272982,0.422128,-0.439664,-0.000379082,-0.704469,0.452214,-0.753664,-0.0646213,0.353897,0.257007,-0.792815,0.461015,0.0902508,-0.692712,-0.754252;7.73608,2.63757,2.08911,3.09714
29;0.181456,-0.723996,0.505812,-0.599122,0.220906,0.898208,0.666284,0.89319,-0.24715,0.669224,0.535949,0.267361,-0.523414,-0.762902,-0.267636,-0.962222,0.473275,-0.142402,-0.0253658,-0.312405,0.313371,0.922029,0.30835,-0.840569,-0.785689;0.20722,0.281395,-3.81283,7.72592
30;0.432269,-0.0142092,0.856319,-0.972676,0.326941,0.940215,0.81535,0.645428,-0.200485,0.898099,0.785304,0.215048,-0.653272,-0.702936,-0.857888,-0.595116,0.953931,-0.163912,0.078682,0.832035,0.538204,0.952039,0.409025,-0.818635,-0.716864;3.78041,0.158174,-0.0966357,9.17605
31;0.57541,-0.94063,0.874213,-0.963277,0.246406,0.989406,0.846351,0.771602,-0.129353,0.965643,0.809376,-0.232905,-0.632752,0.317377,-0.912617,-0.397758,0.546741,-0.163912,0.0813639,0.224837,0.319754,0.96414,0.694888,-0.818635,-0.79171;6.99176,-0.436019,1.46607,3.91272
32;0.70758,-0.84207,0.927971,-0.808167,0.650824,0.986911,0.969107,0.852865,0.627113,0.981894,0.345328,0.290438,-0.717717,-0.59571,-0.716827,-0.150072,0.789546,-0.681706,-0.57831,0.815737,0.894524,0.954548,0.789283,-0.901693,-0.946244;7.53436,-8.07096,-2.92875,9.17389
33;0.66528,-0.87216,0.859318,-0.744865,0.735293,0.985915,0.972857,0.869237,0.368284,0.974128,0.198996,0.42207,-0.889015,-0.169312,-0.78583,0.365119,0.625063,-0.681706,-0.578884,0.893566,0.632021,0.682617,0.858415,-0.901693,-0.953811;9.7089,-8.62652,-2.19667,6.9156
34;0.25915,-0.886313,0.856597,-0.740426,0.649771,0.981286,0.966762,0.617198,0.755006,0.953793,-0.340741,0.534114,-0.820791,0.188915,-0.163055,0.535927,0.278186,-0.35248,-0.393287,0.806519,0.473641,0.365681,0.757702,-0.764275,-0.924917;10.6463,-11.1276,2.50181,5.82692
35;0.122661,-0.640679,0.628247,0.146376,0.511905,0.898326,0.937071,0.796056,0.733577,0.903195,-0.645191,0.899489,-0.59235,-0.588922,0.114305,0.308547,-0.194976,-0.333041,-0.467558,0.696698,0.246632,0.0353093,0.801369,-0.792031,-0.919653;5.07409,-12.9135,-1.70669,7.26813
36;-0.192573,0.000957637,0.853,-0.383056,0.79029,0.714428,0.947927,0.576975,0.784043,0.335365,-0.540483,0.85935,-0.744547,0.023478,-0.00221892,0.287278,0.465632,-0.35248,-0.441346,0.930508,0.398442,0.386783,0.180681,-0.764275,-0.90779;7.30642,-8.77162,-1.03374,8.48078
37;0.0782115,-0.372141,0.725611,-0.204399,0.776037,0.881983,0.958617,0.402508,0.784627,0.840666,-0.477663,0.833925,-0.716555,0.0645425,-0.0346031,0.452215,-0.0504825,-0.35248,-0.415541,0.943691,0.576978,0.307971,0.259639,-0.764275,-0.914805;7.01065,-11.9715,0.971425,5.95518
38;-0.00322335,-0.844684,0.0377141,0.513247,0.0859016,0.708854,0.843449,0.722743,0.704745,0.364173,-0.837742,0.770277,-0.440607,0.0878274,0.399626,-0.0245284,-0.644107,-0.177334,-0.259943,0.576087,0.409442,-0.15641,0.594189,-0.455615,-0.809686;2.76439,-13.4597,-0.786142,4.01194
39;-0.22998,0.0681375,0.513895,-0.116647,0.545956,-0.0232211,0.860107,-0.0418263,0.772314,-0.624122,-0.723802,0.745806,-0.522293,0.370129,0.229196,0.345549,0.467249,-0.198583,-0.240272,0.976238,0.919655,0.754491,-0.247361,-0.398042,-0.671305;3.79251,-9.52632,0.316971,8.62383
40;0.0908353,-0.494005,0.399938,0.608085,0.517174,0.646042,0.87567,-0.490266,0.774128,0.375716,-0.675434,0.68147,-0.467001,0.513997,-0.158428,0.74815,-0.700222,-0.198583,-0.161703,0.96304,0.877064,0.552226,0.115741,-0.398042,-0.653118;2.06299,-14.6469,4.39905,2.36556
41;-0.375869,-0.848807,-0.535529,0.500316,-0.146641,0.226077,0.656507,0.386856,0.433385,-0.446255,-0.6327,0.0420359,-0.445838,0.680572,0.0386689,0.396973,-0.938461,0.101949,0.528664,-0.327763,0.285894,-0.0480536,-0.33039,-0.261815,-0.58162;3.69094,-1.01837,1.88093,-2.01983
42;-0.454114,0.568006,0.730467,-0.526692,0.349311,0.103549,0.824333,0.00113915,0.570446,-0.102729,-0.264446,0.630314,-0.435092,-0.779642,-0.340892,0.360578,0.788739,-0.0646213,0.280492,0.92213,0.798149,0.859967,-0.597562,-0.692712,-0.419733;3.62416,1.30079,1.80367,12.2295
43;0.0404176,-0.772803,0.84218,-0.32818,0.230738,0.925026,0.821653,0.466964,0.577031,0.823299,-0.273039,0.420986,-0.43972,-0.00045587,-0.704812,0.452888,-0.753638,-0.0646213,0.353891,0.254424,-0.792735,0.460896,0.0906365,-0.692712,-0.754221;7.73339,2.64237,2.08872,3.08978
44;0.181136,-0.722912,0.506606,-0.59888,0.220925,0.898279,0.666308,0.893137,-0.247101,0.669195,0.536098,0.267115,-0.523483,-0.763976,-0.267708,-0.962216,0.474328,-0.142402,-0.0253765,-0.312656,0.313305,0.922028,0.308196,-0.840569,-0.785741;0.204939,0.286455,-3.81488,7.73152
45;0.432168,-0.0140154,0.856576,-0.972677,0.326894,0.940293,0.815367,0.645457,-0.200474,0.898074,0.785315,0.214995,-0.653293,-0.70298,-0.857925,-0.595161,0.953878,-0.163912,0.078682,0.832015,0.537156,0.952043,0.40925,-0.818635,-0.71705;3.78089,0.160583,-0.0973082,9.17607
46;0.575411,-0.94063,0.874232,-0.96328,0.246402,0.989406,0.846356,0.771564,-0.129348,0.965643,0.809381,-0.232932,-0.632752,0.317361,-0.91247,-0.398708,0.546593,-0.163912,0.0813643,0.224966,0.31952,0.964145,0.694836,-0.818635,-0.791764;6.98802,-0.435259,1.46579,3.91261
47;0.70758,-0.842059,0.927976,-0.808152,0.650823,0.986905,0.969107,0.852871,0.627099,0.981895,0.345334,0.290542,-0.717717,-0.595617,-0.716732,-0.150319,0.789493,-0.681706,-0.57831,0.815784,0.894518,0.954548,0.789256,-0.901693,-0.946245;7.53325,-8.07138,-2.9289,9.17408
48;0.665275,-0.872149,0.859278,-0.74487,0.735292,0.985912,0.972857,0.86924,0.368272,0.974124,0.198968,0.42213,-0.889016,-0.16925,-0.785821,0.365114,0.625045,-0.681706,-0.578884,0.89358,0.632058,0.682618,0.858408,-0.901693,-0.953811;9.70877,-8.62676,-2.19664,6.91558
49;0.259152,-0.886315,0.856572,-0.74042,0.649777,0.981285,0.966762,0.617198,0.755006,0.95379,-0.340754,0.534118,-0.820791,0.188915,-0.163074,0.535956,0.278212,-0.35248,-0.393287,0.806518,0.473703,0.365682,0.757697,-0.764275,-0.924914;10.6463,-11.1277,2.50183,5.82692
50;0.122659,-0.640691,0.628244,0.146383,0.511909,0.898333,0.937071,0.796056,0.733578,0.903194,-0.645192,0.899487,-0.592351,-0.588925,0.114253,0.308608,-0.194954,-0.333041,-0.467557,0.696688,0.246653,0.0353032,0.801374,-0.792031,-0.919651;5.07434,-12.9133,-1.70671,7.26806
51;-0.192577,0.000912324,0.853001,-0.383055,0.79029,0.714461,0.947927,0.576973,0.784046,0.33536,-0.540484,0.859339,-0.744548,0.0234703,-0.00223728,0.287299,0.465638,-0.35248,-0.441347,0.930501,0.398442,0.38678,0.180689,-0.764275,-0.90779;7.30661,-8.7716,-1.03373,8.48072
52;0.0782111,-0.37215,0.725618,-0.204397,0.776037,0.881988,0.958617,0.402503,0.784628,0.840668,-0.477661,0.833921,-0.716555,0.0645352,-0.0346041,0.452215,-0.0504811,-0.35248,-0.415541,0.943689,0.576973,0.307971,0.25964,-0.764275,-0.914807;7.01065,-11.9715,0.971438,5.95518
53;-0.00322448,-0.844684,0.0377228,0.513251,0.0859009,0.708854,0.843449,0.722743,0.704745,0.364172,-0.837742,0.770277,-0.440607,0.0878279,0.399628,-0.0245332,-0.644113,-0.177334,-0.259943,0.576082,0.409433,-0.156411,0.594189,-0.455615,-0.809687;2.76436,-13.4597,-0.786162,4.01194
54;-0.229982,0.0681441,0.513895,-0.116647,0.545956,-0.0232268,0.860107,-0.0418265,0.772314,-0.624125,-0.723802,0.745807,-0.522293,0.370127,0.229204,0.34554,0.467245,-0.198583,-0.240272,0.976238,0.919654,0.754492,-0.247365,-0.398042,-0.671307;3.79246,-9.52633,0.31696,8.62385
55;0.0908357,-0.493999,0.399939,0.608085,0.517174,0.646036,0.87567,-0.490267,0.774127,0.375717,-0.675434,0.681473,-0.467001,0.513997,-0.158428,0.74815,-0.700222,-0.198583,-0.161703,0.963041,0.877063,0.552227,0.115738,-0.398042,-0.653117;2.06296,-14.6469,4.39904,2.36558
56;-0.375869,-0.848807,-0.535531,0.500317,-0.146641,0.226076,0.656507,0.386857,0.433385,-0.446257,-0.632701,0.0420363,-0.445839,0.680573,0.0386691,0.396972,-0.938461,0.101949,0.528664,-0.327765,0.285893,-0.0480537,-0.33039,-0.261815,-0.581619;3.69093,-1.01836,1.88092,-2.01983
57;-0.454115,0.568007,0.730466,-0.526693,0.349311,0.103549,0.824333,0.00113772,0.570446,-0.10273,-0.264447,0.630314,-0.435093,-0.779643,-0.340891,0.360577,0.788741,-0.0646213,0.280492,0.92213,0.79815,0.859967,-0.597563,-0.692712,-0.419732;3.62415,1.30079,1.80368,12.2295
58;0.0404181,-0.772802,0.84218,-0.328178,0.230738,0.925026,0.821653,0.466963,0.577031,0.823299,-0.273039,0.420986,-0.43972,-0.000456025,-0.704812,0.452889,-0.753639,-0.0646213,0.353891,0.254424,-0.792735,0.460896,0.090637,-0.692712,-0.754221;7.73338,2.64236,2.08872,3.08978
