Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;2
8;1
9;3
10;3
11;3
12;0
13;3
14;3
15;0
16;3
17;4
18;0
19;0
20;3
21;2
22;3
23;2
24;3
25;4
26;2
27;3
28;4
29;0
30;0
31;3
32;2
33;3
34;2
35;3
36;4
37;2
38;3
39;4
40;0
41;0
42;3
43;2
44;3
45;2
46;3
47;4
48;2
49;3
50;4
51;0
52;0
53;3
54;2
55;3
56;2
57;3
58;4
59;2
60;3
61;4
62;0
63;0
64;3
65;2
66;3
67;2
68;3
69;4
70;2
71;3
72;4
73;0
74;0
75;3
76;2
77;3
78;2
79;3
80;4
81;2
82;3
83;4
84;0
85;0
86;3
87;2
88;3
89;2
90;3
91;4
92;2
93;3
94;4
95;0
96;0
97;3
98;2
99;3
100;2
101;3
102;4
103;2
104;3
105;4
106;0
107;0
108;3
109;2
110;3
111;2
112;3
113;4
114;2
115;3
116;4
117;0
118;0
119;3
120;2
121;3
122;2
123;3
124;4
125;2
126;3
127;4
128;0
129;0
130;3
131;2
132;3
133;2
134;3
135;4
136;2
137;3
138;4
139;0
140;0
141;3
142;2
143;3
144;2
145;3
146;4
147;2
148;3
149;4
150;0
151;0
152;3
153;2
154;3
155;2
156;3
157;4
158;2
159;3
160;4
161;0
162;0
163;3
164;2
165;3
166;2
167;3
168;4
169;2
170;3
171;4
172;0
173;0
174;3
175;2
176;3
177;2
178;3
179;4
180;2
181;3
182;4
183;0
184;0
185;3
186;2
187;3
188;2
189;3
190;4
191;2
192;3
193;4
194;0
195;0
196;3
197;2
198;3
199;2
200;3
201;4
202;2
203;3
204;4
205;0
206;0
207;3
208;2
209;3
210;2
211;3
212;4
213;2
214;3
215;4
216;0
217;0
218;3
219;2
220;3
221;2
222;3
223;4
224;2
225;3
226;4
227;0
228;0
229;3
230;2
231;3
232;2
233;3
234;4
235;2
236;3
237;4
238;0
239;0
240;3
241;2
242;3
243;2
244;3
245;4
246;2
247;3
248;4
249;0
250;0
251;3
252;2
253;3
254;2
255;3
256;4
257;2
258;3
259;4
260;0
261;0
262;3
263;2
264;3
265;2
266;3
267;4
268;2
269;3
270;4
271;0
272;0
273;3
274;2
275;3
276;2
277;3
278;4
279;2
280;3
281;4
282;0
283;0
284;3
285;2
286;3
287;2
288;3
289;4
290;2
291;3
292;4
293;0
294;0
295;3
296;2
297;3
298;2
299;3
300;0
