Passo;A  o
0;0
1;3
2;3
3;3
4;0
5;3
6;3
7;2
8;3
9;3
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;2
20;3
21;2
22;3
23;3
24;3
25;2
26;3
27;2
28;3
29;3
30;3
31;2
32;3
33;2
34;3
35;3
36;3
37;2
38;3
39;2
40;3
41;3
42;3
43;2
44;3
45;2
46;3
47;3
48;3
49;2
50;3
51;2
52;3
53;3
54;3
55;2
56;3
57;2
58;3
59;3
60;3
61;2
62;3
63;2
64;3
65;3
66;3
67;2
68;3
69;2
70;3
71;3
72;3
73;2
74;3
75;2
76;3
77;3
78;3
79;2
80;3
81;2
82;3
83;3
84;3
85;2
86;3
87;2
88;3
89;3
90;3
91;2
92;3
93;2
94;3
95;3
96;3
97;2
98;3
99;2
100;3
101;3
102;3
103;2
104;3
105;2
106;3
107;3
108;3
109;2
110;3
111;2
112;3
113;3
114;3
115;2
116;3
117;2
118;3
119;3
120;3
121;2
122;3
123;2
124;3
125;3
126;3
127;2
128;3
129;2
130;3
131;3
132;3
133;2
134;3
135;2
136;3
137;3
138;3
139;2
140;3
141;2
142;3
143;3
144;3
145;2
146;3
147;2
148;3
149;3
150;3
151;2
152;3
153;2
154;3
155;3
156;3
157;2
158;3
159;2
160;3
161;3
162;3
163;2
164;3
165;2
166;3
167;3
168;3
169;2
170;3
171;2
172;3
173;3
174;3
175;2
176;3
177;2
178;3
179;3
180;3
181;2
182;3
183;2
184;3
185;3
186;3
187;2
188;3
189;2
190;3
191;3
192;3
193;2
194;3
195;2
196;3
197;3
198;3
199;2
200;3
201;2
202;3
203;3
204;3
205;2
206;3
207;2
208;3
209;3
210;3
211;2
212;3
213;2
214;3
215;3
216;3
217;2
218;3
219;2
220;3
221;3
222;3
223;2
224;3
225;2
226;3
227;3
228;3
229;2
230;3
231;2
232;3
233;3
234;3
235;2
236;3
237;2
238;3
239;3
240;3
241;2
242;3
243;2
244;3
245;3
246;3
247;2
248;3
249;2
250;3
251;3
252;3
253;2
254;3
255;2
256;3
257;3
258;3
259;2
260;3
261;2
262;3
263;3
264;3
265;2
266;3
267;2
268;3
269;3
270;3
271;2
272;3
273;2
274;3
275;3
276;3
277;2
278;3
279;2
280;3
281;3
282;3
283;2
284;3
285;2
286;3
287;3
288;3
289;2
290;3
291;2
292;3
293;3
294;3
295;2
296;3
297;2
298;3
299;3
300;0
