Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.204854,-0.110982,0.337835,0.0127072,0.668827,0.788116,0.284806,-0.363432,-0.581236,0.488954,0.821781,-0.47719,-0.761366,-0.129425,0.615519,-0.192649,-0.0740243,0.0182358,-0.244283,-0.0652412,0.324762,0.0552797,-0.627187,-0.503254,0.356291;-0.30757,-2.52728,3.60598,5.29557
1;-0.730905,0.593161,-0.0538253,-0.623577,0.43551,0.605414,0.0747087,0.817475,-0.194629,0.743942,0.939291,-0.860766,-0.822618,-0.278533,0.946635,-0.684874,-0.735634,0.936659,0.507647,-0.0404814,0.762889,0.227647,-0.718704,-0.624993,-0.191831;-0.335206,-11.7228,-0.671541,0.454729
2;-0.965193,0.561565,0.392967,-0.0926726,0.346159,0.905923,0.244892,0.597097,0.0192961,0.638714,0.929726,-0.859136,-0.850803,-0.379539,0.967456,-0.594211,0.205016,0.984762,0.78771,0.27815,0.82076,0.562503,-0.741828,-0.655767,-0.458178;-0.776734,-10.649,5.0092,1.58456
3;-0.315462,-0.258317,-0.116914,0.0862737,0.492118,0.58418,0.213409,0.881167,0.939237,-0.147082,0.391412,-0.47144,-0.246279,-0.36926,0.513261,-0.256892,0.684285,0.754126,0.572856,-0.59613,0.561334,-0.265595,-0.692178,0.576568,-0.77945;-2.89723,-2.62407,-3.43227,2.42943
4;0.338109,0.311024,0.208637,0.235436,0.579569,0.638208,-0.32498,0.88438,0.795158,0.0814044,0.214066,-0.493435,-0.148239,-0.69498,0.752119,-0.458969,0.179592,0.235161,-0.237346,-0.727504,0.764147,0.196633,-0.396704,0.44394,-0.919153;-2.66317,-2.36338,-7.6589,3.92758
5;-0.0317412,0.357051,0.366525,0.237074,0.520063,0.736956,-0.431528,0.839675,0.78541,0.269501,0.413267,-0.500547,-0.174569,-0.596277,0.567404,-0.390367,-0.120741,-0.00702955,-0.137777,-0.587989,0.738854,-0.144831,-0.455299,-0.0286661,-0.891748;-2.59437,-4.4611,-5.90171,3.16616
6;-0.369192,0.366134,0.358164,0.214157,0.515009,0.803409,-0.387373,0.86121,0.781324,0.131972,0.458358,-0.492554,-0.18729,-0.560578,0.463285,-0.340345,0.0636177,0.0154124,0.0569927,-0.482717,0.737062,-0.282386,-0.590858,-0.127014,-0.888796;-2.45129,-5.04053,-3.93444,2.76784
7;-0.207453,0.304034,0.354272,0.225227,0.514007,0.840272,-0.376494,0.876214,0.775361,-0.0237519,0.498425,-0.490733,-0.205635,-0.579487,0.469895,-0.337375,0.278055,0.0511198,0.149713,-0.549323,0.736308,-0.266698,-0.610388,-0.0883864,-0.889138;-2.69974,-3.63501,-4.22778,3.03985
8;-0.018759,0.349967,0.352361,0.232907,0.520827,0.803607,-0.363597,0.889619,0.785972,0.043226,0.478213,-0.489111,-0.20119,-0.600913,0.472675,-0.343248,0.203531,0.0563117,0.196339,-0.618845,0.735204,-0.259257,-0.60459,-0.078767,-0.890054;-2.67023,-3.35669,-5.1772,2.82407
9;-0.452277,0.307448,0.491378,-0.0689293,0.634437,0.876584,0.0363726,0.656246,0.510392,0.40687,0.715691,-0.262976,-0.606759,-0.783447,0.499608,-0.330386,-0.176891,-0.0901722,0.35229,-0.252871,0.890849,0.168507,-0.802739,-0.264372,-0.732395;-0.164146,-6.13881,-1.51347,3.82167
