Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.739791,-0.0603167,0.00930177,0.0604627,0.506665,0.3391,-0.148531,-0.470944,-0.617879,0.41974,0.151753,0.234894,-0.361109,-0.613696,-0.371099,0.660776,-0.0948584,0.463386,-0.278197,0.499168,0.543881,0.222538,0.177015,0.066882,0.483023;0.815936,-1.52869,-1.74901,1.47018
1;-0.794763,0.403945,0.0992221,0.210231,0.71638,0.542773,0.0593244,-0.0953008,-0.74715,0.752191,0.521847,0.43253,-0.361109,-0.793841,-0.472156,0.660776,0.60044,0.731811,-0.513662,0.155661,0.389245,-0.170654,0.177015,-0.139393,0.369455;1.2901,-2.0284,-2.8432,1.47371
2;-0.911599,0.610434,0.021332,0.0423321,0.0974363,0.743147,0.227287,-0.0249982,-0.241787,0.801804,0.759598,0.835609,-0.391597,-0.906026,-0.17116,0.936152,0.790991,0.809835,-0.936006,0.46884,0.655819,0.00931208,0.314569,0.280936,0.0824462;1.91104,-3.80544,-1.64597,2.7792
3;-0.845178,0.740763,0.0195335,0.0196314,-0.49813,0.737566,0.794059,-0.269205,-0.549664,0.446037,0.672261,0.63626,-0.106078,-0.792802,0.0123605,0.906036,0.875855,0.783427,-0.880196,0.317291,0.385784,-0.711366,0.173305,0.541512,0.535031;1.18682,-6.36501,-1.32759,2.3889
4;-0.497012,0.574124,-0.563786,-0.23911,0.476132,0.389514,0.924178,-0.0350953,-0.445634,0.461966,0.595614,0.923254,0.308998,-0.66416,0.435315,0.85582,0.92396,0.669856,-0.895206,-0.216274,0.193662,-0.696411,-0.348159,-0.247653,0.417351;0.983265,-3.58409,-2.27936,0.0323111
5;-0.44456,0.525811,-0.25661,-0.0597144,-0.101958,0.801177,0.8814,-0.129361,-0.758511,0.0977837,0.785716,0.723607,0.13935,-0.468096,-0.477159,0.771473,0.889754,0.822873,-0.463254,0.276528,0.568394,-0.714765,-0.215251,0.0940181,0.83171;0.698749,-5.0478,-2.81877,1.10937
6;-0.597123,0.479204,-0.22907,0.124142,0.198876,0.799935,0.871047,-0.158222,-0.69279,0.736988,0.742051,0.79542,0.13935,-0.455907,-0.171554,0.771473,0.887735,0.848608,-0.69929,0.123659,0.813308,-0.194075,-0.215251,-0.0903893,0.813902;1.76465,-3.95295,-1.82237,1.33591
7;-0.873134,0.584724,0.292374,0.461847,-0.0105496,0.716283,0.922628,-0.363692,-0.793824,0.127905,0.037883,0.534381,-0.156687,-0.511838,-0.815188,0.823179,0.854339,0.629306,-0.585322,0.0643531,-0.0523604,-0.446658,0.488033,0.421617,0.712604;0.960452,-3.41644,-1.28387,1.90164
8;-0.582953,0.379471,0.114711,0.171949,0.26866,0.714644,0.89852,0.151654,-0.860071,0.750752,0.685638,0.832632,0.0885216,-0.313927,-0.740219,0.595163,0.887066,0.821214,-0.607472,0.452158,0.392563,0.201934,0.13883,-0.102733,0.828988;1.13847,-2.30438,-2.60689,1.57384
9;-0.663017,0.226777,-0.09129,0.513567,0.281726,0.781407,0.95789,-0.0102206,-0.887899,0.692251,0.609244,0.631585,0.0885216,-0.23749,-0.743296,0.595163,0.949538,0.74647,-0.498058,0.63236,0.332095,0.336527,0.13883,-0.223122,0.88655;1.98878,-2.29387,-1.97129,1.32716
10;-0.841063,0.395833,0.0285091,0.650767,0.527853,0.497645,0.760778,-0.426315,-0.853231,0.639404,0.113637,0.458766,-0.0708367,-0.817093,-0.874083,0.532159,0.927657,0.562825,-0.602303,-0.264876,0.103807,-0.226346,0.0283563,0.0878571,0.78753;1.50212,-2.58012,-0.906737,0.635947
11;-0.838129,0.419813,0.202132,-0.0740361,0.559483,0.643735,-0.184017,0.372335,-0.463835,0.674755,0.040251,0.726765,-0.115556,-0.876965,-0.757603,0.478363,0.741764,0.501942,-0.889332,-0.37212,-0.486,0.437565,-0.0991936,0.245371,0.420923;-0.72038,-3.8015,-0.834267,0.766774
12;-0.724661,0.386497,-0.0259953,-0.305756,0.347107,0.687706,-0.0504067,0.370914,-0.569602,0.687884,-0.0505224,-0.164461,-0.115556,-0.545993,-0.121678,0.478363,0.593141,0.562708,-0.859161,0.404473,-0.648884,0.56583,-0.0991936,0.35395,0.502927;-1.56071,-4.82655,0.196398,0.264491
13;-0.589327,0.386497,-0.0596646,0.150868,0.327353,0.106047,-0.565785,0.314674,-0.180955,0.444246,-0.114239,-0.307468,-0.115556,-0.419038,-0.55119,0.478363,0.644873,0.428733,-0.761111,0.106729,-0.540925,0.477638,-0.0991936,0.15771,0.526532;-0.841249,-2.31775,1.5131,0.131529
14;-0.594867,0.514204,-0.331306,-0.404268,0.184131,0.0315037,-0.865021,0.176242,0.396925,0.560673,0.472592,0.344502,-0.0644754,-0.85143,0.254188,0.695842,0.481918,0.272144,-0.920751,0.348205,0.0447705,0.192124,-0.428391,0.264237,0.421597;-0.154194,-4.11193,0.535784,1.18728
