Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.124958,0.308551,0.312389,-0.252256,0.629558,-0.35958,0.253181,-0.448008,-0.850302,0.715293,0.0471345,-0.837741,-0.926043,0.324893,-0.418926,0.155722,-0.286588,0.311166,0.762088,0.325253,-0.234998,-0.0399701,-0.814209,-0.204223,0.861056;2.28939,3.54951,2.19497,2.88818
1;0.0619928,0.629306,0.550179,-0.404562,0.597886,0.390646,0.724273,-0.731529,-0.841673,0.715293,0.377927,-0.836396,-0.926043,0.637025,-0.461379,0.200009,0.0555094,0.396576,0.883563,0.405887,-0.624992,-0.414287,-0.867336,-0.128421,0.86909;2.50028,1.2644,1.13533,2.76204
2;0.211868,0.529391,-0.16019,0.356696,0.796207,-0.0154113,0.760341,-0.706281,-0.856017,0.902165,-0.37649,-0.947505,-0.967805,0.855667,-0.792086,0.540348,0.0821351,-0.131819,0.870727,0.370528,-0.868429,-0.35973,-0.963841,0.217219,0.761498;3.62888,0.189971,0.786322,1.78613
3;-0.318775,0.830289,0.720947,0.288395,0.287124,0.823917,0.792137,-0.802869,-0.386998,0.855182,-0.187516,-0.938252,-0.854739,0.262515,-0.487442,0.466522,-0.372642,0.558153,0.933027,0.736903,-0.546527,0.212962,-0.712372,-0.193079,0.69193;2.7781,-0.65527,0.426795,2.12837
4;-0.620652,0.876782,0.250998,-0.824196,0.715722,0.613082,0.862174,-0.666437,-0.894163,0.791505,0.304992,-0.671006,-0.766399,0.190336,-0.474912,0.476563,0.091876,0.229067,0.730132,0.407272,-0.20171,-0.442747,-0.890065,0.0944768,0.900445;3.05814,-0.368422,-0.195945,2.45593
5;0.0574699,0.595865,0.153862,-0.222727,-0.135186,0.600978,0.679914,-0.59089,0.147356,0.434055,0.304245,-0.526628,-0.528592,-0.15179,0.557647,0.585611,0.155865,0.232226,0.776489,0.622618,-0.703096,-0.210107,-0.855697,0.095523,0.798111;2.24437,0.464697,0.149613,2.68279
6;-0.0900714,0.463575,0.322281,-0.423552,-0.0758851,-0.0114361,0.247038,-0.366042,-0.0282486,0.434055,0.262627,-0.526595,-0.528592,-0.213477,0.436803,0.646088,0.070808,0.29587,0.468796,0.5719,-0.104009,-0.0422258,-0.811279,0.0922596,0.797928;2.71175,2.1531,0.82105,3.49404
7;-0.106179,0.442936,0.55467,-0.463599,-0.177708,0.00617702,0.3874,-0.321662,-0.154517,0.434055,0.363478,-0.52593,-0.528592,-0.226446,0.457909,0.572976,0.193528,0.330107,0.497003,0.443938,-0.21656,-0.231243,-0.778728,0.088039,0.787452;2.27392,2.25122,0.726651,3.95117
8;-0.0976265,0.452544,0.459115,-0.467686,-0.254789,-0.0064155,0.357979,-0.314799,-0.0122027,0.434055,0.276322,-0.525572,-0.528592,-0.225549,0.521756,0.587507,0.351516,0.288617,0.447958,0.463746,-0.170103,-0.182953,-0.793069,0.0849439,0.812047;2.24581,2.36376,0.280988,3.99512
9;-0.117003,0.370734,0.484076,-0.476764,-0.205765,-0.0471991,0.174891,-0.317816,-0.0488413,0.434055,0.147785,-0.526006,-0.528592,-0.227763,0.513728,0.581554,0.290926,0.296956,0.408924,0.478036,-0.12434,-0.165972,-0.77905,0.0863077,0.790951;2.59728,2.91284,0.352417,4.25929
10;-0.111808,0.391236,0.57711,-0.469896,-0.263994,-0.0586277,0.23883,-0.315079,-0.0616986,0.434055,0.197736,-0.525919,-0.528592,-0.229212,0.503888,0.575628,0.305177,0.293545,0.433936,0.451686,-0.157969,-0.203481,-0.734746,0.0849745,0.756032;2.46895,2.81249,0.28084,4.39984
11;-0.5256,0.606554,0.725793,-0.783249,0.152149,0.038844,0.154047,-0.562264,-0.552322,0.774062,-0.230164,-0.769191,-0.820092,0.047376,-0.00950557,0.200504,0.492281,0.703587,0.657233,0.199678,-0.0770163,0.348941,-0.786529,-0.123461,0.835381;1.83712,3.54867,-0.368342,4.41968
