Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
255;0.147985,0.355175,-0.767041,-0.269053,0.40919,-0.649772,0.99079,0.597271,0.518369,-0.448583,0.27355,-0.420992;-5.31081,0.841776,-1.71702,0.284549
256;0.0885905,0.443755,-0.0462058,-0.784917,0.324108,0.266271,0.971335,-0.191749,0.436244,0.293492,0.582802,-0.943748;-4.56221,-1.84522,0.288556,0.356306
257;0.0885905,0.465309,-0.136254,-0.757374,0.381413,0.517041,0.868215,-0.191749,0.258756,0.427162,0.582802,-0.926839;-4.47115,-1.87611,0.779076,0.422355
258;0.173937,0.136563,0.156175,-0.43355,-0.122669,-0.642398,0.724538,0.500247,0.689258,-0.918373,-0.352762,-0.715788;-2.78295,0.12287,-2.36318,1.39595
259;0.173937,-0.19995,-0.363489,-0.509464,-0.050267,-0.887237,-0.459376,0.500247,0.771657,-0.83074,-0.352762,-0.0942094;-3.99357,1.08118,-2.53781,-0.143131
260;0.147985,-0.690858,-0.801717,-0.296397,0.146702,-0.963228,0.880445,0.597271,0.499897,-0.351614,0.27355,-0.304036;-4.90665,-0.648333,-1.24207,0.159428
261;0.147985,0.354196,-0.71289,-0.269053,0.454413,-0.648732,0.990952,0.597271,0.518369,-0.509179,0.27355,-0.556884;-5.42452,0.711488,-1.60657,0.32433
262;0.0885905,0.443859,0.00206014,-0.784917,0.32487,0.24935,0.966229,-0.191749,0.436244,0.271214,0.582802,-0.951124;-4.47957,-1.86589,0.227331,0.367345
263;0.0885905,0.462084,-0.135455,-0.757374,0.379307,0.509202,0.848725,-0.191749,0.258756,0.431922,0.582802,-0.92701;-4.44361,-1.87878,0.776422,0.403917
264;0.173937,0.121141,0.15398,-0.43355,-0.121473,-0.650301,0.723954,0.500247,0.689258,-0.918128,-0.352762,-0.714145;-2.78488,0.105915,-2.3534,1.38433
265;0.173937,-0.200401,-0.362379,-0.509464,-0.0403061,-0.887317,-0.45671,0.500247,0.771657,-0.831087,-0.352762,-0.0961016;-3.99913,1.08343,-2.52653,-0.154021
266;0.147985,-0.689735,-0.797884,-0.296397,0.147009,-0.963087,0.880061,0.597271,0.499897,-0.357524,0.27355,-0.318393;-4.91888,-0.662335,-1.23401,0.168656
267;0.147985,0.353926,-0.712729,-0.269053,0.453787,-0.649933,0.990845,0.597271,0.518369,-0.508962,0.27355,-0.557221;-5.42163,0.7102,-1.6074,0.324034
268;0.0885905,0.44379,0.00139183,-0.784917,0.324892,0.249334,0.966212,-0.191749,0.436244,0.271635,0.582802,-0.951029;-4.48009,-1.8657,0.228181,0.366797
269;0.0885905,0.462074,-0.135432,-0.757374,0.379348,0.509286,0.849012,-0.191749,0.258756,0.431838,0.582802,-0.927015;-4.44395,-1.87883,0.776471,0.404167
270;0.173937,0.121368,0.154023,-0.43355,-0.121453,-0.650188,0.723937,0.500247,0.689258,-0.918132,-0.352762,-0.714177;-2.78485,0.106183,-2.35351,1.38444
271;0.173937,-0.200414,-0.362362,-0.509464,-0.0404537,-0.88732,-0.456761,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153833
272;0.147985,-0.689756,-0.797942,-0.296397,0.147018,-0.96309,0.880055,0.597271,0.499897,-0.357432,0.27355,-0.318181;-4.9187,-0.662126,-1.23411,0.168491
273;0.147985,0.353921,-0.712725,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508972,0.27355,-0.557231;-5.42167,0.710192,-1.60737,0.324041
274;0.0885905,0.443792,0.00140474,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
275;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849006,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404165
276;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
277;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961318;-3.99899,1.08329,-2.52665,-0.153837
278;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
279;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
280;0.0885905,0.443792,0.00140447,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
281;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404165
282;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
283;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153837
284;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
285;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
286;0.0885905,0.443792,0.00140446,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
287;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404166
288;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
289;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153837
290;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
291;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324043
292;0.0885905,0.443792,0.00140446,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
293;0.351621,0.789356,-0.288485,-0.515691,0.30317,0.0679216,0.923716,0.127981,0.366175,-0.00677674,0.694811,-0.860329;-6.19247,-0.870028,-0.785722,0.119125
294;0.163774,0.671192,-0.0926534,-0.829894,0.428354,-0.335122,0.925139,0.370401,0.663482,-0.384074,0.515778,-0.803249;-5.98963,-0.196372,-1.82609,0.552051
295;0.173937,-0.0278139,0.204665,-0.500795,-0.372756,-0.792398,0.653299,0.500247,0.757803,-0.922467,-0.352762,-0.750398;-2.58375,-0.287565,-2.61916,1.56969
296;0.173937,-0.287416,-0.570319,-0.509464,0.046764,-0.898596,-0.516147,0.500247,0.771657,-0.766073,-0.352762,0.295539;-4.3672,1.58222,-2.61055,-0.579003
297;0.147985,-0.71399,-0.761498,-0.296397,0.206102,-0.964938,0.934874,0.597271,0.499897,-0.431571,0.27355,-0.43724;-5.13824,-0.79508,-1.10397,0.212233
298;0.147985,0.39189,-0.68026,-0.269053,0.467331,-0.638287,0.989767,0.597271,0.518369,-0.535266,0.27355,-0.618826;-5.44135,0.694527,-1.5975,0.365145
299;0.0885905,0.443093,0.015855,-0.784917,0.301742,0.241108,0.962731,-0.191749,0.436244,0.266898,0.582802,-0.953052;-4.42856,-1.88793,0.186665,0.396972
