Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.478081,-0.0169728,-0.136422,-0.0139705,0.0304054,0.258264,-0.497696,0.431689,0.0636183,0.264985,0.304918,-0.193442,0.308832,-0.00591442,-0.247878,-0.0650042,0.467646,0.0867046,0.357489,-0.192208,0.0736055,0.347483,0.413976,-0.432434,-0.347741,0.249802,-0.131855,0.249081,0.402225,-0.342967,0.47016,-0.467245,-0.323664,0.211319,0.0517924,-0.480394,-0.352368,-0.221302,-0.0298199,0.491944,-0.422948,0.0644207,-0.524131,0.5325,0.0103454,0.0921176,0.246262,0.483964,-0.0819412,0.34877;-1.28458,-3.92963,-0.930042,-0.383358
1;-0.699923,0.25573,0.253006,0.0295952,0.310911,0.383902,-0.563212,0.269462,0.174197,0.508863,0.32697,0.187298,0.249869,-0.161816,-0.498138,-0.27858,0.305445,0.397322,0.498564,-0.192208,-0.185465,0.505673,0.368563,-0.386501,-0.322155,0.24256,-0.0649845,0.0907862,0.294675,-0.0430009,0.375947,-0.310136,-0.410985,0.443034,0.254061,-0.297655,-0.537124,-0.519198,-0.365349,0.548978,-0.125123,0.230207,-0.686626,0.614204,-0.088675,0.287618,0.261282,0.378504,0.100299,-0.126967;-1.04918,-4.11508,0.38088,1.28678
2;-0.708858,0.270773,0.380756,0.183605,0.201927,0.300906,-0.167327,0.468419,0.113092,0.48081,0.448919,0.196386,0.370021,0.0646259,-0.539667,-0.127933,0.219695,0.504891,0.57568,-0.192208,-0.318574,0.371662,0.500287,-0.129533,-0.410933,0.429902,-0.236183,-0.0664718,0.389969,-0.0475995,0.395652,-0.375321,-0.240369,0.321239,0.219619,-0.203661,-0.371032,-0.295818,-0.413583,0.485802,-0.3423,0.215859,-0.743219,0.463723,0.113056,0.408099,0.255553,0.532832,0.193975,-0.158733;-1.50857,-4.56622,1.01794,1.53013
3;-0.884162,-0.0933399,0.287443,-0.13638,-0.223353,-0.0439556,-0.517313,0.659375,0.409189,0.173853,0.0461824,0.265644,0.753334,0.449265,0.199019,0.0140817,-0.170126,0.782527,0.119167,-0.494452,-0.373441,0.166887,0.15774,-0.0185148,-0.711178,0.799081,0.0667186,0.23667,0.285469,0.388716,0.397493,-0.031361,-0.332364,0.0698833,0.457054,-0.222947,0.226533,0.0288031,-0.169158,0.146952,-0.0152126,0.455024,-0.552393,0.18022,0.182196,0.00252323,0.481012,0.480627,0.0603099,0.182055;-0.0488296,-6.60838,-0.247764,1.48111
4;-0.833906,0.128169,0.080645,-0.131991,-0.604901,0.322605,-0.471806,0.0124243,0.59699,0.105082,-0.122736,-0.675555,0.665071,0.255027,0.885232,0.798024,0.370794,0.64223,0.657262,-0.486693,-0.560583,-0.292075,-0.588481,0.737819,-0.669763,0.961918,0.657504,0.414365,0.385215,0.152445,0.583133,-0.595016,-0.895888,-0.323233,0.299476,-0.757,-0.229013,0.275034,-0.843689,0.0613591,-0.529089,0.0650168,0.22406,0.00915717,0.0909663,-0.727474,-0.505386,0.72281,-0.741317,0.6433;-3.11666,-5.53581,-4.1016,1.90079
5;-0.985453,0.450473,0.367182,0.294097,-0.914455,-0.604291,-0.515947,0.0666713,0.826442,0.444661,0.310236,0.55895,0.340688,0.472575,0.727916,0.506336,0.523219,0.717668,0.925239,-0.82231,-0.763038,-0.24796,0.358127,0.858871,0.516288,0.990288,0.840321,0.274458,0.5415,0.856302,0.882284,-0.605891,-0.980885,0.066312,-0.620339,-0.979433,-0.366616,-0.904733,-0.722631,0.696332,-0.295192,0.632561,0.400539,0.188438,-0.970966,-0.6229,-0.770933,0.106893,-0.492486,-0.15181;-2.84222,-5.55598,1.7642,-0.293013
6;-0.926208,0.567753,0.584822,0.433971,-0.222237,0.645349,0.58109,0.13288,0.538544,0.702215,0.745939,-0.0140491,0.0593156,-0.221548,-0.401427,-0.187986,0.54962,0.223481,0.981975,-0.177139,-0.334087,-0.496001,0.717458,0.752238,0.743175,0.961962,0.866448,-0.868515,0.433748,0.615946,0.331661,0.0482811,-0.76201,0.269837,0.251945,-0.773774,-0.206528,-0.793716,-0.763607,0.590776,-0.744075,-0.445443,-0.597394,0.583345,-0.765983,0.145388,-0.628927,0.427427,-0.303712,0.323089;-3.8914,-4.08838,2.62432,4.86127
7;-0.969828,0.317529,0.609765,-0.159227,-0.694237,0.583201,0.0963142,0.643408,0.692383,0.590656,0.533948,-0.531988,0.597192,0.0315272,-0.423653,-0.292692,0.0724052,0.828213,0.931367,-0.482574,-0.693931,-0.833188,0.150771,0.111253,-0.489295,0.965503,0.645898,-0.902355,0.452341,0.450305,0.506347,0.356079,-0.851083,0.491066,0.448135,-0.798462,0.782487,-0.749651,-0.470456,0.136286,-0.0794979,-0.265747,-0.241948,0.564657,-0.768443,-0.195626,-0.058929,-0.031284,-0.419077,0.570189;1.91406,-3.92831,2.01507,5.34402
8;-0.968405,-0.165831,0.836766,0.280769,-0.592943,0.539161,0.400167,0.612163,0.61922,-0.0336453,-0.10093,-0.705827,0.376511,0.343596,0.0254672,0.649591,-0.0564095,0.801376,0.890697,-0.256383,-0.509239,-0.714036,-0.464779,0.84193,-0.853073,0.969791,0.643013,-0.519065,0.655372,0.525863,0.73553,-0.053828,-0.976344,0.298651,0.286541,-0.822528,0.652352,-0.188906,-0.889705,0.696922,-0.195583,-0.281117,0.25108,0.0980062,-0.750503,-0.712906,-0.676943,-0.276893,-0.810731,0.589929;-0.915448,-3.53676,0.0240804,5.41614
9;-0.992505,0.29322,0.824551,0.206482,-0.713116,-0.192249,-0.11402,0.198998,0.467721,0.199666,-0.390452,-0.48002,0.461611,0.351821,0.570724,0.54273,-0.0718796,0.70466,0.931977,-0.576414,-0.595256,-0.234878,-0.0703459,0.944667,0.0804774,0.984905,0.801621,0.352262,0.660317,0.708359,0.855766,-0.131207,-0.95324,0.0305258,0.179277,-0.935252,-0.0233612,-0.543493,-0.352901,0.59486,-0.109783,-0.0544693,0.0879153,0.105399,-0.953963,-0.503595,-0.84231,-0.434835,-0.874667,0.297923;-1.23971,-4.22248,1.31594,3.28406
