Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.387111,-0.388278,0.287158,-0.531105,-0.46949,-0.12224,0.00773644,-0.365498,-0.387136,0.213191,-0.373613,-0.517659,-0.43396,0.217178,0.336261,0.295459,-0.0943217,0.246898,-0.291208,0.201826,-0.0305369,0.533505,0.264332,0.031421,0.0298678,0.465004,-0.150709,-0.262409,-0.35352,0.348538,0.446212,0.42946,0.174342,-0.181977,0.059925,0.472403,-0.161585,0.262017,-0.223226,0.204894,0.516237,-0.148738,0.0798152,-0.432974,0.326875,0.51769,-0.00712799,0.208244,-0.442157,-0.327218;-1.20852,-4.11173,-0.198241,0.421801
1;0.348974,-0.292536,0.807541,-0.489316,-0.325906,-0.308413,0.454724,-0.435819,-0.328457,0.412363,-0.765399,-0.120104,-0.5084,0.199302,0.561571,0.394881,0.232717,0.108561,-0.28973,-0.0624738,-0.10304,0.103363,0.256241,0.189978,0.316953,0.51217,0.354163,-0.413224,-0.300188,0.745577,0.352674,0.387923,0.0561837,-0.408846,-0.033206,0.485272,-0.447802,-0.244473,0.30889,0.481965,0.50786,-0.44802,-0.142998,-0.574449,0.355737,0.768055,0.538767,0.285187,-0.205552,-0.263007;-1.04949,-4.47951,0.00472175,1.06658
2;0.339732,-0.467309,0.835182,-0.541182,-0.715215,-0.417554,0.486999,-0.40196,-0.258206,0.603708,-0.834707,-0.0899786,-0.58025,0.264028,0.551099,0.365558,0.413588,0.00565807,-0.265783,0.249596,-0.177899,-0.0769933,0.487816,0.174917,0.00624131,0.736915,0.359093,-0.275802,-0.431214,0.67452,0.295795,0.28466,0.155389,-0.40626,-0.196393,0.45606,0.0399881,-0.383139,0.5692,0.734579,0.346385,-0.523751,-0.113693,-0.395136,0.524564,0.752598,0.772021,0.360437,-0.142372,-0.169952;-0.58246,-4.76734,-0.240322,1.9884
3;0.342424,-0.494156,0.904781,-0.375065,-0.828976,-0.276198,0.529902,-0.416281,-0.298163,0.712959,-0.845326,-0.022229,-0.532194,0.324858,0.613787,0.263542,0.292295,-0.109343,-0.131902,0.232666,-0.190955,-0.181362,0.575994,0.146824,-0.162631,0.825701,0.285872,-0.328919,-0.266054,0.657283,0.343807,0.368588,0.216606,-0.610811,-0.306501,0.326536,0.271653,-0.487031,0.537173,0.723336,0.338897,-0.59212,-0.0691942,-0.375307,0.583868,0.784204,0.821883,0.368602,0.213229,-0.218691;-0.460505,-5.13576,-0.617101,1.76659
4;0.348356,-0.556663,0.911154,-0.270681,-0.83892,-0.15999,0.409245,-0.253428,-0.350929,0.663821,-0.867023,0.069142,-0.512164,0.357583,0.526443,0.286193,0.267197,-0.160536,-0.085014,0.204571,-0.19295,-0.287136,0.595273,0.120351,-0.348453,0.82558,0.199433,-0.0598976,-0.175929,0.647931,0.35972,0.2324,0.171006,-0.607472,-0.392226,0.313112,0.553083,-0.570545,0.556033,0.763481,0.462091,-0.626974,-0.0937162,-0.284292,0.576841,0.81531,0.856469,0.390828,0.390266,-0.266937;0.520894,-5.8612,-1.21415,1.64046
5;0.353515,-0.569744,0.912811,-0.202542,-0.853749,-0.0731237,0.319719,-0.152537,-0.351942,0.684094,-0.884683,0.0216979,-0.427756,0.382205,0.524563,0.284801,0.313693,-0.210226,-0.0768401,0.197421,-0.19702,-0.299109,0.607814,0.118299,-0.383972,0.831575,0.235475,0.0112669,-0.109591,0.640829,0.356984,0.254375,0.25262,-0.563466,-0.351957,0.194165,0.640304,-0.57826,0.560278,0.705194,0.533477,-0.485348,-0.108903,-0.220577,0.570948,0.80447,0.868213,0.259659,0.470029,-0.268876;0.701818,-6.0443,-1.50366,1.75621
6;0.146548,-0.828051,0.937881,0.139264,-0.74623,0.0621017,-0.17803,-0.204287,-0.745636,0.800414,-0.954826,-0.207237,-0.364851,-0.035207,0.604841,0.175201,0.250989,0.28476,-0.338921,0.0114813,0.261976,-0.753511,0.34634,0.324476,-0.67142,0.922936,-0.0117939,0.38394,-0.58856,0.437219,0.612662,0.544668,-0.0641158,-0.467546,-0.145155,0.0919542,0.542741,-0.722986,0.158981,0.832382,0.417652,-0.412106,-0.567025,-0.0382729,0.349848,0.918355,0.892313,0.57681,0.766129,-0.0729196;-1.93787,-9.0751,-1.9903,0.65195
7;0.119537,-0.850007,0.983053,0.305627,-0.588823,0.186876,-0.670116,-0.328395,-0.651525,0.865505,-0.970968,-0.0181371,-0.104395,-0.0958278,0.693009,0.0680231,0.25756,0.159641,-0.473445,-0.112681,0.24919,-0.901855,0.308636,0.350205,-0.627141,0.81788,-0.12566,0.352963,-0.630362,0.697828,0.321047,0.629846,-0.20853,-0.182549,0.230933,0.136742,0.75486,-0.832929,0.245921,0.741821,0.746895,0.0246934,-0.685192,-0.0613358,0.163776,0.891503,0.846973,0.693861,0.814985,0.0923161;-1.22315,-9.29557,-1.62508,0.279136
8;0.7863,-0.833505,0.976905,0.700953,-0.16499,-0.613189,-0.415902,-0.347098,-0.256969,0.551924,-0.993094,-0.0347714,0.151778,0.224716,0.572638,0.573864,0.628905,-0.183949,-0.695067,-0.563503,-0.072029,-0.987422,0.390219,0.470684,-0.744677,0.84239,0.268958,0.691136,-0.926031,0.926831,0.746154,0.891984,0.109405,-0.924355,5.44055e-05,0.653378,0.788835,-0.843815,0.615485,0.829382,0.909096,0.35575,-0.790823,0.261473,-0.582391,0.535141,0.20642,0.685324,0.304297,-0.286142;0.67519,-10.1262,-1.91697,-2.08862
9;-0.268044,-0.140041,0.856082,0.815248,0.119197,0.119548,-0.926477,-0.747693,-0.496346,0.231703,-0.890178,0.0453603,-0.717727,-0.207905,0.536736,0.321554,0.835501,-0.547067,-0.378016,-0.822155,-0.339805,-0.973195,0.0441717,-0.279639,-0.761561,0.890366,0.576541,-0.041443,-0.984575,0.37077,0.280001,0.684348,0.0473281,-0.62801,-0.645828,-0.357364,-0.136512,-0.927033,0.78237,0.509283,0.901895,0.469741,-0.602977,0.706441,-0.117563,0.959335,0.456544,0.917358,0.903979,0.531991;-3.46213,-4.89518,-2.28663,0.513982
10;0.174126,-0.507774,0.506922,0.823932,0.264394,-0.379009,-0.816112,-0.728839,-0.710046,0.262203,-0.97598,-0.55915,-0.313652,0.0218095,0.293775,0.204131,0.397676,-0.705234,-0.542594,0.354448,-0.597797,-0.98974,-0.350242,-0.18616,-0.980137,0.85829,-0.17589,0.423203,-0.988052,0.515449,0.286386,0.732209,-0.0320253,-0.60919,-0.586865,-0.00147599,0.796885,-0.95226,0.907674,0.89633,0.885115,0.0597493,-0.659228,0.00715199,-0.129629,0.688261,0.137027,0.677491,0.701674,0.282946;-0.498348,-8.14219,-1.00673,-1.92303
11;-0.0164033,0.328541,0.260734,0.684001,-0.321949,-0.0972198,-0.805444,-0.676373,0.0774862,-0.0656712,-0.898822,-0.162027,-0.556063,0.369902,0.272354,-0.270306,0.7552,-0.851025,-0.156088,-0.234407,-0.676069,-0.94981,0.369225,-0.594814,-0.930824,0.835533,0.375727,0.173586,-0.947036,0.755979,-0.290408,0.630984,-0.0475954,-0.800033,-0.801004,-0.504717,0.479105,-0.871495,0.812703,0.292407,0.923743,-0.445209,-0.340362,0.406245,-0.0525401,0.654405,0.520012,0.566272,0.738449,0.151625;-1.26274,-4.26362,-2.36356,-0.70115
