Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.295245,-0.533595,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0455047,-0.255645;0.0440846,-1.07012,0.608001,0.966228
1;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
2;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
3;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
4;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
5;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
6;-0.0268274,-0.00844251,-0.600033,-0.59782,0.376673,-0.339567,0.229345,0.201403,0.335055,-0.170228;-0.406864,0.127394,-1.7906,-0.0749376
7;-0.544351,-0.75532,0.169641,-0.457559,0.750231,-0.329194,-0.380881,-0.0744354,0.0482202,-0.127918;0.364404,-1.56189,-0.391777,1.37102
8;-0.544351,-0.753999,0.169641,-0.457559,0.750231,-0.329194,-0.380881,-0.0744354,0.0499488,-0.139033;0.3624,-1.58094,-0.374818,1.3605
9;-0.32108,-0.430031,-0.200854,-0.735449,0.709243,-0.724511,0.159184,0.264663,0.306385,0.0404211;-0.0656994,-0.375083,-2.5185,0.471959
10;-0.407203,-0.755373,-0.237336,-0.945521,0.320003,-0.618389,0.231092,-0.0953265,0.0150192,0.0120843;-0.0290586,-2.57535,-2.49465,1.02764
11;-0.584297,-0.485444,-0.203101,-0.92644,0.700247,-0.514844,-0.138037,-0.116236,0.0260101,-0.532365;0.46132,-3.48964,-0.812778,0.47206
12;-0.584297,-0.461684,-0.203101,-0.92644,0.700247,-0.514844,-0.138037,-0.116236,0.043286,-0.561757;0.440869,-3.52558,-0.738485,0.433043
13;-0.566122,-0.482814,-0.535569,-0.967318,0.851047,-0.274587,0.225697,-0.00501515,-0.130572,-0.563776;0.0912372,-3.79563,-0.663581,-0.220714
14;0.00212592,-0.100366,-0.901167,-0.905569,0.863413,0.129999,-0.153693,-0.0472937,0.298914,-0.570815;0.440012,-1.79489,-0.731959,-0.380604
15;-0.038613,-0.729246,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.115566,-0.412236;0.619385,-2.84512,-0.190453,0.648049
16;-0.038613,-0.673369,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.176463,-0.533728;0.556315,-3.02242,0.0701987,0.512713
17;-0.295245,-0.418991,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.128779,-0.439578;-0.0562053,-1.31963,1.02014,0.740336
18;-0.295245,-0.485891,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.0817689,-0.338399;0.00107402,-1.18502,0.788964,0.866921
19;-0.544351,-0.675223,0.169641,-0.457559,0.750231,-0.329194,-0.380881,-0.0744354,0.140463,-0.345662;0.269111,-1.89432,0.0421689,1.13885
20;-0.32108,-0.430031,-0.200854,-0.735449,0.709243,-0.724511,0.159184,0.264663,0.306385,0.0404211;-0.0656994,-0.375083,-2.5185,0.471959
21;-0.32108,-0.520396,-0.200854,-0.735449,0.709243,-0.724511,0.159184,0.264663,0.245401,0.204442;0.0111622,-0.143641,-2.86331,0.667796
22;-0.719914,-0.214858,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.211917,-0.397739;-0.480414,-2.48148,-0.176107,0.018256
23;-0.719914,-0.164037,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.183309,-0.456881;-0.518704,-2.55237,-0.0298018,-0.0631987
24;-0.294869,-0.438762,-0.756858,-0.941725,0.946399,-0.407603,-0.224006,0.0195901,0.311663,-0.494803;0.942461,-2.18866,-1.764,0.0190611
25;0.234396,-0.510889,-0.907713,-0.929867,0.6472,-0.0223503,0.215895,-0.0261759,0.284745,-0.0411413;0.0492362,-0.8853,-2.82432,0.210921
26;0.234396,-0.421866,-0.907713,-0.929867,0.6472,-0.0223503,0.215895,-0.0261759,0.342741,-0.19395;-0.0248095,-1.09764,-2.49779,0.0255071
27;-0.294869,-0.305613,-0.756858,-0.941725,0.946399,-0.407603,-0.224006,0.0195901,0.388395,-0.640127;0.841395,-2.35685,-1.39131,-0.185459
28;0.234396,-0.510889,-0.907713,-0.929867,0.6472,-0.0223503,0.215895,-0.0261759,0.284745,-0.0411413;0.0492362,-0.8853,-2.82432,0.210921
29;0.00212592,-0.0260793,-0.901167,-0.905569,0.863413,0.129999,-0.153693,-0.0472937,0.336786,-0.635247;0.387429,-1.8591,-0.549923,-0.480617
30;-0.038613,-0.729246,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.115566,-0.412236;0.619385,-2.84512,-0.190453,0.648049
31;-0.038613,-0.673369,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.176463,-0.533728;0.556315,-3.02242,0.0701987,0.512713
32;-0.295245,-0.418991,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.128779,-0.439578;-0.0562053,-1.31963,1.02014,0.740336
33;-0.544351,-0.675223,0.169641,-0.457559,0.750231,-0.329194,-0.380881,-0.0744354,0.140463,-0.345662;0.269111,-1.89432,0.0421689,1.13885
34;-0.32108,-0.430031,-0.200854,-0.735449,0.709243,-0.724511,0.159184,0.264663,0.306385,0.0404211;-0.0656994,-0.375083,-2.5185,0.471959
35;-0.585478,-0.566351,0.185116,-0.844373,0.335946,-0.644691,0.549783,0.241634,-0.205479,0.131991;-0.838846,-1.74267,-1.79181,0.641953
36;-0.719914,-0.192224,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.199147,-0.424758;-0.497513,-2.51428,-0.110053,-0.0186237
37;-0.719914,-0.164037,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.183309,-0.456881;-0.518704,-2.55237,-0.0298018,-0.0631987
38;-0.294869,-0.438762,-0.756858,-0.941725,0.946399,-0.407603,-0.224006,0.0195901,0.311663,-0.494803;0.942461,-2.18866,-1.764,0.0190611
39;0.234396,-0.510889,-0.907713,-0.929867,0.6472,-0.0223503,0.215895,-0.0261759,0.284745,-0.0411413;0.0492362,-0.8853,-2.82432,0.210921
40;-0.0670797,-0.628888,-0.771815,-0.95693,0.851049,-0.526888,0.145361,0.0407171,0.394097,-0.201853;0.406876,-1.5817,-3.18724,0.214781
41;0.208565,-0.516843,-0.80841,-0.845817,0.361241,-0.300287,-0.148131,-0.137062,0.41988,0.0100478;0.609354,-0.449356,-3.30077,0.872727
42;0.234396,-0.487048,-0.907713,-0.929867,0.6472,-0.0223503,0.215895,-0.0261759,0.301133,-0.0879295;0.0286281,-0.952682,-2.72858,0.15616
43;0.00212592,-0.0260793,-0.901167,-0.905569,0.863413,0.129999,-0.153693,-0.0472937,0.336786,-0.635247;0.387429,-1.8591,-0.549923,-0.480617
44;-0.038613,-0.729246,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.115566,-0.412236;0.619385,-2.84512,-0.190453,0.648049
45;-0.038613,-0.673369,-0.814232,-0.83702,0.695376,0.502614,-0.329523,-0.355627,0.176463,-0.533728;0.556315,-3.02242,0.0701987,0.512713
46;-0.295245,-0.418991,-0.307951,-0.238775,0.449443,0.217993,-0.316849,-0.140558,0.128779,-0.439578;-0.0562053,-1.31963,1.02014,0.740336
47;-0.544351,-0.675223,0.169641,-0.457559,0.750231,-0.329194,-0.380881,-0.0744354,0.140463,-0.345662;0.269111,-1.89432,0.0421689,1.13885
48;-0.32108,-0.430031,-0.200854,-0.735449,0.709243,-0.724511,0.159184,0.264663,0.306385,0.0404211;-0.0656994,-0.375083,-2.5185,0.471959
49;-0.585478,-0.566351,0.185116,-0.844373,0.335946,-0.644691,0.549783,0.241634,-0.205479,0.131991;-0.838846,-1.74267,-1.79181,0.641953
50;-0.719914,-0.192224,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.199147,-0.424758;-0.497513,-2.51428,-0.110053,-0.0186237
51;-0.719914,-0.164037,0.219622,-0.793622,0.709238,-0.546282,0.239084,0.221622,-0.183309,-0.456881;-0.518704,-2.55237,-0.0298018,-0.0631987
