Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
189;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
190;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
191;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
192;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
193;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
194;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
195;-0.493631,0.33168,0.425738,-0.807354,-0.386636,-0.288824,-0.355003,0.339355,0.461674,0.784392;0.44523,-2.75122,0.967936,3.94982
196;-0.493631,0.33168,0.346462,-0.807354,-0.386636,-0.288824,-0.355003,0.189446,0.649478,0.784392;0.624743,-2.64076,0.790721,4.09263
197;-0.75104,0.104326,0.657984,-0.836374,0.122848,-0.267104,-0.43559,-0.334933,-0.0510858,0.269122;1.23501,-2.02981,2.06565,2.16205
198;-0.75104,0.104326,0.695031,-0.836374,0.122848,-0.267104,-0.43559,-0.189899,-0.174882,0.269122;1.14943,-2.12289,2.16457,2.05531
199;-0.647741,-0.16616,0.324408,-0.523791,-0.431499,0.247714,-0.28776,0.487034,0.794732,0.610482;0.297331,-1.90358,-1.24057,4.2634
200;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.494797,0.732804,0.610482;0.252184,-1.91309,-1.12527,4.20892
201;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
202;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
