Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
35;0.863714,0.278205,0.779571,0.21875,0.909212,0.497496,0.881095,-0.109849,-0.455368,0.363463,0.581793,-0.263217;-3.30244,-1.58002,-5.27352,2.60172
36;0.859946,0.278205,0.747797,0.1951,0.90952,0.481691,0.881198,-0.109849,-0.366951,0.381207,0.787361,0.0583159;-2.68937,-0.675958,-5.40673,2.33378
37;0.900209,-0.262097,0.58038,0.0446486,0.863395,0.556003,0.949164,-0.258242,-0.644139,-0.256887,0.887932,0.0476445;-0.18896,0.935335,-8.0061,1.49744
38;0.929791,-0.0835754,-0.128744,0.619397,0.954867,0.205876,0.957144,0.288358,-0.891826,-0.309029,-0.0330158,-0.314514;-5.50473,-0.513811,-4.6602,2.56626
39;0.970207,-0.490066,0.598738,0.267272,0.965357,-0.759496,0.94815,0.546297,-0.520563,0.433505,-0.181954,-0.129565;-5.77688,-1.40951,-6.75932,1.73093
40;0.963929,-0.490066,0.182604,0.490252,0.968013,-0.817137,0.948776,0.546297,-0.797708,0.295318,0.678174,0.601595;-2.75065,1.29016,-8.28756,2.06386
41;0.96804,-0.490066,0.466363,0.363653,0.967614,-0.257931,0.948933,0.546297,-0.590157,-0.316225,0.564926,0.49445;-3.52497,1.86347,-8.66384,0.803078
42;0.908671,-0.262097,0.718958,-0.0839446,0.888554,0.378542,0.952475,-0.258242,-0.627472,-0.564665,0.459354,-0.621896;-0.737646,-0.80984,-8.49183,1.57835
43;0.932422,-0.617364,0.250142,0.389613,0.897785,0.0327008,0.930067,0.0520431,-0.784355,0.661652,-0.00245371,-0.635859;-3.78932,-2.55314,-5.54878,2.88688
44;0.94756,-0.617364,0.73372,0.307118,0.902311,-0.415338,0.930803,0.0520431,-0.0125412,0.668382,0.930384,0.546148;-0.527958,0.818119,-6.78329,1.04683
45;0.945184,-0.617364,0.674021,0.635063,0.905096,0.475344,0.931162,0.0520431,-0.506738,-0.210422,0.931885,0.55138;-1.726,2.93914,-6.93016,0.315237
46;0.887079,0.278205,0.916511,0.497268,0.922641,0.708962,0.880651,-0.109849,-0.46592,-0.293561,0.278435,-0.52264;-4.56697,-0.944798,-4.37556,1.75551
47;0.878695,0.278205,0.878365,0.189405,0.913486,0.210142,0.88297,-0.109849,-0.672156,0.55505,0.179989,-0.586585;-4.48676,-2.76009,-5.028,3.06547
48;0.857821,0.278205,0.728597,0.0760064,0.912083,0.111646,0.881765,-0.109849,-0.39436,0.592109,0.868203,0.265011;-2.02489,-0.487696,-5.91781,2.51646
49;0.849328,0.278205,0.642615,0.227755,0.908493,0.674866,0.881579,-0.109849,-0.227516,-0.0549391,0.879872,0.302902;-2.40719,0.74492,-5.18417,1.54387
50;0.860592,0.278205,0.753452,0.314303,0.906993,0.681346,0.881103,-0.109849,-0.383602,-0.0875139,0.460541,-0.385937;-3.66116,-1.16911,-4.83941,2.07036
51;0.866662,0.278205,0.802425,0.233462,0.908978,0.380404,0.880903,-0.109849,-0.495725,0.46801,0.424525,-0.416336;-3.74997,-2.18582,-4.96245,2.82424
52;0.861,0.278205,0.756979,0.173253,0.91003,0.348298,0.881167,-0.109849,-0.351502,0.488271,0.835413,0.172918;-2.46806,-0.515769,-5.46048,2.3551
53;0.89906,-0.262097,0.55916,0.0532848,0.863664,0.589193,0.949194,-0.258242,-0.623624,-0.346804,0.914962,0.165242;-0.16651,1.45636,-7.91972,1.26163
54;0.705338,-0.0700848,0.797603,0.341825,0.854101,0.697951,0.828758,0.362078,-0.50382,-0.0792627,0.384983,-0.401811;-5.08868,-1.40543,-6.46831,1.60702
55;0.815824,-0.55411,0.844352,-0.267433,0.697429,0.205976,0.92469,0.221607,-0.813385,0.0241896,0.79568,-0.157334;-0.969404,-0.530289,-11.4221,1.63359
56;0.873024,-0.262097,-0.00228084,0.030288,0.851684,0.561884,0.93506,-0.258242,-0.771437,-0.0762715,0.678629,-0.335878;-0.289062,-0.789835,-7.15998,2.76602
57;0.93642,-0.617364,0.396828,0.319123,0.890618,0.252552,0.927048,0.0520431,-0.0343728,0.49946,0.565269,-0.204991;-1.85104,-1.41207,-5.78158,1.75044
58;0.945536,-0.617364,0.683335,0.627707,0.903054,0.140659,0.930232,0.0520431,-0.241809,0.409891,0.89336,0.407379;-1.60266,1.2635,-5.98822,0.991984
59;0.886645,0.278205,0.914801,0.600627,0.922694,0.688705,0.880378,-0.109849,-0.250858,-0.176164,0.809058,0.109584;-3.12682,0.831335,-4.42724,1.31023
60;0.885036,0.278205,0.908215,0.302468,0.913414,0.640383,0.882977,-0.109849,-0.643247,0.0791506,0.328225,-0.494394;-4.4033,-1.56251,-5.22156,2.37266
61;0.865847,0.278205,0.796279,0.0920911,0.913146,0.258505,0.881755,-0.109849,-0.57139,0.537933,0.592689,-0.252298;-2.95299,-1.89858,-6.01803,2.95203
62;0.850561,0.278205,0.655995,0.131847,0.90989,0.490247,0.88172,-0.109849,-0.3194,0.373114,0.862343,0.24722;-2.41172,-0.187799,-5.41961,2.19691
63;0.853567,0.278205,0.687361,0.26718,0.907212,0.671572,0.881288,-0.109849,-0.236131,-0.0396001,0.792395,0.0690078;-2.61569,0.0279377,-5.10767,1.75241
